model,group,columns,repeat,ROC_AUC_drop,split,model_hash,interpretation
AdaptiveMath-AI,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",0,0.01802387033084496,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",1,0.0176724702767862,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",2,0.017704098577369654,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",3,0.01657874316182817,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",4,0.016688331713345606,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",0,0.0003256983199928509,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",1,0.00035385572852131286,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",2,0.0004981847667124839,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",3,0.0003081207711791434,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",4,0.0003450562195064233,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,learner_counts,"[""prior_interaction_count"", ""prior_correct_count"", ""prior_cumulative_accuracy"", ""rasch_ability""]",0,0.009337962697778313,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,learner_counts,"[""prior_interaction_count"", ""prior_correct_count"", ""prior_cumulative_accuracy"", ""rasch_ability""]",1,0.009740353840963611,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,learner_counts,"[""prior_interaction_count"", ""prior_correct_count"", ""prior_cumulative_accuracy"", ""rasch_ability""]",2,0.009793487387818711,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
