model,model_hash,repeat,component,median,p95,p99,unit,timestamp_batches,events,state_reset,warmup_repetitions,hardware,threads
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,1,features_ms,0.104083,0.9271791499999993,1.8122475899999964,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,1,prediction_ms,14.1033535,19.448026449999997,24.247834259999966,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,1,state_update_ms,0.0152085,0.02503124999999999,0.052688749999999826,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,1,event_batch_ms,14.422395999999999,19.606316999999994,24.408871999999963,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,2,features_ms,0.0951665,0.7158228999999986,1.7698284199999956,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,2,prediction_ms,15.623,23.801468099999994,37.43809115999992,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,2,state_update_ms,0.0140205,0.02079615,0.03054458999999996,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,2,event_batch_ms,15.899083000000001,23.944304199999994,37.54877892999992,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,3,features_ms,0.095792,0.791921449999998,2.0829773299999985,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,3,prediction_ms,15.171771,21.699168399999998,28.399750499999996,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,3,state_update_ms,0.014458499999999999,0.022198199999999987,0.06150574999999992,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,3,event_batch_ms,15.406896,21.833062499999997,28.76155167,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,4,features_ms,0.09139549999999999,0.6993499999999989,1.499714079999994,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,4,prediction_ms,13.992583499999999,18.839853849999994,30.566992909999996,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,4,state_update_ms,0.013833,0.022219399999999997,0.031002919999999996,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,4,event_batch_ms,14.1465625,19.007072599999994,30.663274079999994,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,5,features_ms,0.09177099999999999,0.843729199999999,1.7052872599999822,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,5,prediction_ms,13.5879795,18.9605059,21.64109549999999,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,5,state_update_ms,0.0145,0.02071525,0.02751207999999999,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,5,event_batch_ms,13.84525,19.110483349999996,21.736692089999995,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,1,features_ms,0.1081455,1.0034482499999986,2.3621440799999958,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
