Model,Training_Time_Seconds,Inference_Time_Seconds,Evaluated_Interactions,Latency_Milliseconds_Per_Interaction,Throughput_Interactions_Per_Second,Model_Size_Bytes,Parameter_Count,Peak_Process_RSS_Bytes,Source_Artifact,Family,Training_Rows,Device,Peak_Memory_Bytes,Memory_Measurement,Scope
Logistic Regression,2.62573220898048,0.0920449999975971,168098,0.0005475674903782,1826258.8951533288,5985,0.0,1137770496.0,baseline_training_efficiency.csv,Classical ML,,,,,
Naive Bayes,1.4241516250185668,0.1352939170028548,168098,0.0008048514378687,1242465.320864743,5553,0.0,1040007168.0,baseline_training_efficiency.csv,Classical ML,,,,,
Decision Tree,5.449231249978766,0.0822469169797841,168098,0.0004892795689406,2043821.2904845732,42419,0.0,792788992.0,baseline_training_efficiency.csv,Classical ML,,,,,
Random Forest,7.870306915981928,0.3024288750020787,168098,0.0017991223869533,555826.5559095328,38156882,0.0,940654592.0,baseline_training_efficiency.csv,Classical ML,,,,,
Extra Trees,14.197620959021153,0.4496399170020595,168098,0.0026748677378794,373850.26027222147,191077666,0.0,859537408.0,baseline_training_efficiency.csv,Classical ML,,,,,
HistGradientBoosting,5.888296458986588,0.2538909160066396,168098,0.0015103744006867,662087.4927073169,451425,0.0,1173127168.0,baseline_training_efficiency.csv,Classical ML,,,,,
MLPClassifier,10.627783583011478,0.1986055830202531,168098,0.0011814868887211,846391.1106812035,63649,2081.0,511311872.0,baseline_training_efficiency.csv,Classical ML,,,,,
DKT-inspired GRU proxy,42.71029954199912,2.4316647090017796,60750,0.0400274026173132,24982.885089013125,6827829,1705617.0,,sota_training_efficiency.csv,Knowledge Tracing,100000.0,mps,,,
Static key-value attention proxy,20.91277679198538,1.7415290840144737,60750,0.0286671454158761,34883.13836250301,6803537,1699793.0,,sota_training_efficiency.csv,Knowledge Tracing,100000.0,mps,,,
SAKT-inspired attention proxy,23.158448458008937,1.862114167015534,60750,0.0306520850537536,32624.208051306457,6842401,1708897.0,,sota_training_efficiency.csv,Knowledge Tracing,100000.0,mps,,,
Time-aware SAKT proxy,22.27769599997555,2.0863741250068415,60750,0.0343436069959973,29117.5006782644,6841857,1708897.0,,sota_training_efficiency.csv,Knowledge Tracing,100000.0,mps,,,
Subject-time SAKT proxy,26.09959387499839,1.96689387501101,60750,0.0323768539096462,30886.26222889628,6841897,1708897.0,,sota_training_efficiency.csv,Knowledge Tracing,100000.0,mps,,,
Compact Transformer KT proxy,33.51693400001386,2.7813444169878494,60750,0.0457834471932156,21841.955145487253,6853579,1710257.0,,sota_training_efficiency.csv,Knowledge Tracing,100000.0,mps,,,
Compact numeric-token Transformer proxy,22.1063913750113,2.047915750008542,60750,0.0337105473252434,29664.306258568795,20068,3025.0,,sota_training_efficiency.csv,Deep Tabular,100000.0,mps,,,
Compact entity-token Transformer proxy,22.185526958986884,2.1965556670038495,60750,0.0361572949301045,27656.936226371326,1875757,466657.0,,sota_training_efficiency.csv,Deep Tabular,100000.0,mps,,,
Deeper entity-token Transformer proxy,27.16394616698381,2.062096041016048,60750,0.0339439677533505,29460.315519575368,1888614,468881.0,,sota_training_efficiency.csv,Deep Tabular,100000.0,mps,,,
Residual MLP,19.791246165987104,1.8006977920013014,60750,0.0296411159177168,33736.9214700276,46641,10241.0,,sota_training_efficiency.csv,Deep Tabular,100000.0,mps,,,
Neural MF proxy,16.58433920799871,1.7521329579758458,60750,0.0288416947814954,34672.02629997984,2757829,688704.0,,sota_training_efficiency.csv,Collaborative Deep,100000.0,mps,,,
Student-question embedding MLP,16.41286675000447,1.586943667003652,60750,0.0261225294980025,38281.13200432854,2765497,690305.0,,sota_training_efficiency.csv,Collaborative Deep,100000.0,mps,,,
DeepFM-style proxy,45.538171416992554,1.8868628749914933,60750,0.0310594711932756,32196.298313555977,1878593,468482.0,,sota_training_efficiency.csv,Collaborative Deep,281459.0,mps,,,
Gated MLP proxy,45.934986832988216,1.9231402909790631,60750,0.0316566303041821,31588.959102444063,21847,4313.0,,sota_training_efficiency.csv,Deep Tabular,281459.0,mps,,,
Subject-graph embedding proxy,45.38902183400933,1.740186042006826,60750,0.0286450377285074,34910.06049556723,377889,10465.0,,sota_training_efficiency.csv,Knowledge Tracing,281459.0,mps,,,
AdaptiveMath-AI,12.314521000022069,0.2383576249994803,60750,0.0039235823045181,254869.12784993747,187217,,,latency_efficiency_summary.csv,Proposed,,,68575105.0,tracemalloc peak Python allocations for one full-validation inference; native allocator/RSS excluded,DataFrame adaptation + imputation + prediction; residual lookup uses sorted arrays and O(log m) search; one CPU thread
