Scenario,Model,N,ROC_AUC,Log_Loss,Brier_Score
All temporal test,AdaptiveMath-AI,63209,0.7763054224377613,0.5487980952633953,0.18551916844459376
All temporal test,HistGradientBoosting,63209,0.7745535808792781,0.5508521998034306,0.18631019186929038
Rare questions,AdaptiveMath-AI,13634,0.7586822669281879,0.5481946634017153,0.18560314999297725
Rare questions,HistGradientBoosting,13634,0.7555144259537054,0.5512644636262769,0.18675210970885667
Rare subjects,AdaptiveMath-AI,325,0.7347412008281574,0.5731117466372418,0.1955908695004755
Rare subjects,HistGradientBoosting,325,0.7298550724637681,0.5791604566954683,0.1978499320667174
Long inactivity gaps,AdaptiveMath-AI,6665,0.7229966947034638,0.5422300999768026,0.18195096498525853
Long inactivity gaps,HistGradientBoosting,6665,0.7182081530647892,0.5470455344779418,0.18360541135888453
No prior confidence history,AdaptiveMath-AI,42265,0.7774163506040637,0.5395910305828224,0.181587832822336
No prior confidence history,HistGradientBoosting,42265,0.7757793721837832,0.5414227622855206,0.1823338499353789
Missing demographics,AdaptiveMath-AI,44022,0.7739876727791097,0.5354976228779718,0.17996842110640365
Missing demographics,HistGradientBoosting,44022,0.7720470648882589,0.5377593982581418,0.1808235846872778
Unseen students,AdaptiveMath-AI,22687,0.7694225609252745,0.5352453785612777,0.18012395166640707
Unseen students,HistGradientBoosting,22687,0.7689823904302693,0.5354317994776187,0.18027569317452236
Unseen questions,AdaptiveMath-AI,21452,0.7409804311708923,0.5703884153336071,0.19437445523979466
Unseen questions,HistGradientBoosting,21452,0.7406583689532826,0.5706103334603893,0.19442550369155065
