Model,Split,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,Precision,Recall,Specificity,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,MCE,FPR,FNR,Calibration_Slope,Calibration_Intercept,Confusion_Matrix,History_Cap,Family
Deeper entity-token Transformer proxy,stress_short_history,271,0.7343173431734318,0.6501145912910619,0.6595477386934674,0.7201876541378479,0.7725118483412322,0.8716577540106952,0.4285714285714285,0.7675070028011204,0.8788670659843569,0.3344232762976348,0.3258706467661693,0.5187954102565892,0.1739336468135214,0.0586719869247661,0.2846707070575041,0.5714285714285714,0.1283422459893048,0.9977990659976558,0.0694203584035911,"[[36,48],[24,163]]",5,Deep Tabular
Compact numeric-token Transformer proxy,stress_short_history,271,0.7380073800738007,0.65934555640438,0.6686299836390253,0.7262579822904921,0.7788461538461539,0.8663101604278075,0.4523809523809524,0.7592946269416858,0.8673871059943259,0.3489220832377766,0.3422554951628892,0.5260960176183183,0.1757029141233822,0.0904923538880154,0.2078578033868005,0.5476190476190477,0.1336898395721925,1.0770603044384497,0.0447228100027784,"[[38,46],[25,162]]",5,Deep Tabular
Logistic Regression,stress_short_history,271,0.7380073800738007,0.6495098039215687,0.6596982720503706,0.7217431807150884,0.7710280373831776,0.8823529411764706,0.4166666666666667,0.7553475935828876,0.8659364664832027,0.339324954377062,0.328060066352366,0.5229710124713614,0.174385871445807,0.0775909404045122,0.2381275372409427,0.5833333333333334,0.1176470588235294,1.0595428407777967,0.0714658071990444,"[[35,49],[22,165]]",5,Classical ML
Random Forest,stress_short_history,271,0.6863468634686347,0.6579768270944741,0.649375161727324,0.6926488580836309,0.7965116279069767,0.732620320855615,0.5833333333333334,0.7543926661573721,0.8696567453154067,0.3034603875640381,0.3011437759776706,0.569458546331291,0.1942998795955227,0.1335451964535821,0.2578366021097275,0.4166666666666667,0.267379679144385,1.1702804425126598,0.6526812728385436,"[[49,35],[50,137]]",5,Classical ML
Compact entity-token Transformer proxy,stress_short_history,271,0.7343173431734318,0.6730646804176216,0.6784018987341772,0.7293690737540287,0.7918781725888325,0.8342245989304813,0.5119047619047619,0.7542653425006366,0.8649552842720654,0.3592939577704536,0.3578621733693148,0.5393891117318891,0.1815591729188674,0.1010142082547789,0.3677178106524728,0.4880952380952381,0.1657754010695187,0.7668409122729445,0.1715679773491292,"[[43,41],[31,156]]",5,Deep Tabular
Extra Trees,stress_short_history,271,0.6605166051660517,0.6392602495543672,0.627212918660287,0.6695620508836667,0.7878787878787878,0.6951871657754011,0.5833333333333334,0.7532467532467532,0.867116663765477,0.2639506320683478,0.2597826732379312,0.568884741201049,0.1945507147349243,0.1368737282008073,0.3276987982121476,0.4166666666666667,0.3048128342245989,1.079479341732666,0.6595125890521549,"[[49,35],[57,130]]",5,Classical ML
Gated MLP proxy,stress_short_history,271,0.7158671586715867,0.61707410236822,0.6239163737947193,0.694594962170222,0.7522935779816514,0.8770053475935828,0.3571428571428571,0.7518461930226635,0.8678856126123161,0.2730141125378916,0.2606384863409275,0.5299236218042674,0.177988404017868,0.0655158873633704,0.2580231130123138,0.6428571428571429,0.1229946524064171,1.0757647378140147,-0.0757962446429844,"[[30,54],[23,164]]",5,Deep Tabular
HistGradientBoosting,stress_short_history,271,0.7232472324723247,0.6552075375604787,0.6611652913228308,0.7162897735503986,0.78,0.8342245989304813,0.4761904761904761,0.750445632798574,0.8692234522270424,0.3264818768873712,0.3242344648734914,0.5326369236439104,0.1794813439249208,0.0730980576579192,0.2517126211099028,0.5238095238095238,0.1657754010695187,0.991557381263516,0.1621819275133189,"[[40,44],[31,156]]",5,Classical ML
Student-Question Backoff Mean,stress_short_history,271,0.7601476014760148,0.6262095747389865,0.6318011747246086,0.7144241869458264,0.75,0.9786096256684492,0.2738095238095238,0.7501273236567354,0.8565515374523791,0.3897677931232742,0.3104325699745546,0.5553699021581684,0.1855837931242316,0.0994903421753887,0.443525094985962,0.7261904761904762,0.0213903743315508,2.2577286329713866,-0.5462607640957473,"[[23,61],[4,183]]",5,Simple
Residual MLP,stress_short_history,271,0.7195571955719557,0.626305067481538,0.6340440653873489,0.7012795799599787,0.7581395348837209,0.8716577540106952,0.3809523809523809,0.7498726763432645,0.8653719874816631,0.2885346492452398,0.2781438384971261,0.5323727819751336,0.178341571638062,0.0716834873290959,0.2455702006816864,0.6190476190476191,0.1283422459893048,1.1628618078062567,-0.010901367976942,"[[32,52],[24,163]]",5,Deep Tabular
Subject-graph embedding proxy,stress_short_history,271,0.7416974169741697,0.6390692640692641,0.6494826311899482,0.7178144508717813,0.7623318385650224,0.9090909090909092,0.369047619047619,0.7466259230965113,0.85805006435054,0.3369368785829447,0.3153601847841779,0.5311866425498617,0.1774787988947823,0.069370120983722,0.2985274146000544,0.6309523809523809,0.0909090909090909,1.0819599110096152,-0.070653505606654,"[[31,53],[17,170]]",5,Knowledge Tracing
Naive Bayes,stress_short_history,271,0.7158671586715867,0.6465813598166539,0.6521296990914396,0.7087241675117427,0.775,0.8288770053475936,0.4642857142857143,0.7461802902979373,0.8697226249108496,0.3083365551817769,0.3062140506034511,1.8898592339739233,0.2559570441070841,0.2497471788192875,0.8975425930255633,0.5357142857142857,0.1711229946524064,0.103035539167231,0.3843772140612573,"[[39,45],[32,155]]",5,Classical ML
Rasch-style logit baseline,stress_short_history,271,0.7601476014760148,0.6360453272217979,0.645751633986928,0.7222632226322264,0.7563025210084033,0.962566844919786,0.3095238095238095,0.7455436720142602,0.8622995528570495,0.3847942937091042,0.3267209417880212,0.5374871460697653,0.1797844878554199,0.0675520345953557,0.3131483942270279,0.6904761904761905,0.0374331550802139,1.1584043609231232,-0.364724296859767,"[[26,58],[7,180]]",5,Psychometric
AdaptiveMath-AI,stress_short_history,271,0.7195571955719557,0.6590909090909092,0.6630235602094241,0.7154826993296111,0.7846153846153846,0.8181818181818182,0.5,0.7454163483575249,0.8650712395361912,0.3275757195560961,0.3267520920502093,0.5377165623478696,0.1815098982859805,0.0713090872312054,0.2420767564544968,0.5,0.1818181818181818,1.0033949932367408,0.189683504820848,"[[42, 42], [34, 153]]",5,Proposed
Decision Tree,stress_short_history,271,0.6789667896678967,0.6854150751209575,0.6587247593544184,0.6903145945406042,0.8333333333333334,0.6684491978609626,0.7023809523809523,0.7433473389355743,0.8591030055028301,0.344982582317474,0.3307122377721634,0.6085289687030536,0.2108487899649741,0.1644775394123062,0.3337606478978733,0.2976190476190476,0.3315508021390374,0.9208477420672192,0.8475421187513499,"[[59,25],[62,125]]",5,Classical ML
DeepFM-style proxy,stress_short_history,271,0.7158671586715867,0.6039597657244716,0.6083300486138484,0.6863323185853065,0.7433628318584071,0.8983957219251337,0.3095238095238095,0.7386045327221797,0.8622778931873482,0.2584016352208003,0.2384028614182999,0.5447046197291329,0.1837524709123368,0.0834192174497125,0.8037313967943192,0.6904761904761905,0.1016042780748663,0.8157608372905659,-0.0505675989045848,"[[26,58],[19,168]]",5,Collaborative Deep
MLPClassifier,stress_short_history,271,0.7269372693726938,0.6414884135472371,0.6500907314349526,0.7124150889750104,0.7677725118483413,0.8663101604278075,0.4166666666666667,0.7343391902215431,0.8585280805536939,0.315205993032864,0.3071448313985628,0.5396111814011564,0.1823732145718754,0.0720147807241422,0.2456556961032316,0.5833333333333334,0.1336898395721925,0.9848019232661728,0.1280963279414904,"[[35,49],[25,162]]",5,Classical ML
2PL-inspired smoothed baseline,stress_short_history,271,0.7601476014760148,0.6360453272217979,0.645751633986928,0.7222632226322264,0.7563025210084033,0.962566844919786,0.3095238095238095,0.7222434428316781,0.8263334044554044,0.3847942937091042,0.3267209417880212,0.5654353798924648,0.1844670852562689,0.0860181179964305,0.2418230651918618,0.6904761904761905,0.0374331550802139,0.7831728492626977,-0.1557492550044678,"[[26,58],[7,180]]",5,Psychometric
Elo Rating,stress_short_history,271,0.6974169741697417,0.643048128342246,0.6439694950012818,0.6963989269474853,0.7777777777777778,0.786096256684492,0.5,0.7172141583906289,0.8211360663398704,0.2880280561896942,0.2879846203140018,0.6229074380954707,0.2156608930464792,0.1810467301479565,0.3829497620463371,0.5,0.213903743315508,2.685015536096115,0.4257973202280311,"[[42,42],[40,147]]",5,Psychometric
Question Historical Mean,stress_short_history,271,0.7416974169741697,0.5997262541380188,0.5952807646356033,0.6878017167268448,0.7368421052631579,0.9732620320855616,0.2261904761904762,0.7141902215431628,0.8241100741369587,0.3246727586467516,0.2482960849579963,0.5770962821634875,0.1946817909538431,0.0946582741622995,0.3822882771492004,0.7738095238095238,0.0267379679144385,1.8578142928557713,-0.2049512402075572,"[[19,65],[5,182]]",5,Simple
Student Historical Mean,stress_short_history,271,0.6900369003690037,0.5950789406671759,0.599225352112676,0.6717337976196663,0.7417840375586855,0.8449197860962567,0.3452380952380952,0.6833460656990069,0.8000721314000661,0.2144228073751134,0.2078780708469622,1.119413346874242,0.2104796091027647,0.1210328684733205,0.3333323333333333,0.6547619047619048,0.1550802139037433,0.1091845435172687,0.4230725014789623,"[[29,55],[29,158]]",5,Simple
PFA-style logistic baseline,stress_short_history,271,0.7047970479704797,0.5402024446142093,0.5017466446037875,0.6226379252209511,0.708171206225681,0.9732620320855616,0.1071428571428571,0.679367201426025,0.8179893055127216,0.1680011771507542,0.1043542923242171,0.5784022795721603,0.1963155930321576,0.0706892049982247,0.6163049694830138,0.8928571428571429,0.0267379679144385,1.8750441258593744,-0.376210365415285,"[[9,75],[5,182]]",5,Psychometric
Fixed-parameter BKT proxy,stress_short_history,271,0.5867158671586716,0.6087344028520498,0.5738993710691824,0.6019865859035949,0.7862595419847328,0.5508021390374331,0.6666666666666666,0.6596956964604024,0.8132084814415972,0.2012601305435641,0.1837349397590362,0.8215698459968037,0.2798739967632239,0.2701557662709172,0.8511809706687927,0.3333333333333333,0.4491978609625668,0.2441314368343185,0.6673184067838767,"[[56,28],[84,103]]",5,Psychometric
DKT-inspired GRU proxy,stress_short_history,271,0.6900369003690037,0.5491787624140565,0.5334481062469257,0.6361783342378431,0.7136929460580913,0.9197860962566844,0.1785714285714285,0.6035141329258977,0.7507926323375893,0.1449769266038611,0.1195172893942909,0.6141228804475743,0.2111356524192636,0.0887434547457747,0.6936314254999161,0.8214285714285714,0.0802139037433155,0.5787754884909648,0.3950149163200995,"[[15,69],[15,172]]",5,Knowledge Tracing
Compact Transformer KT proxy,stress_short_history,271,0.6678966789667896,0.520021645021645,0.493563122923588,0.6064961812408822,0.6995884773662552,0.9090909090909092,0.1309523809523809,0.5838426279602751,0.7563219554343219,0.0608426395206303,0.049048658764816,0.6169427251111765,0.2135114430151783,0.0469293538274799,0.3124894201755523,0.8690476190476191,0.0909090909090909,0.5435878018738843,0.4076708723281129,"[[11,73],[17,170]]",5,Knowledge Tracing
Student-question embedding MLP,stress_short_history,271,0.6900369003690037,0.5131143366437484,0.4501449275362319,0.5881833253115141,0.6958174904942965,0.9786096256684492,0.0476190476190476,0.5716832187420422,0.7496673970367598,0.0716661215788354,0.0349330167881973,0.6333968971921726,0.220804748238573,0.1003977197782579,0.5485129356384277,0.9523809523809524,0.0213903743315508,1.164104257188498,0.386615741478245,"[[4,80],[4,183]]",5,Collaborative Deep
Time-aware SAKT proxy,stress_short_history,271,0.6457564575645757,0.5007002801120448,0.4735308402136959,0.5879775407758935,0.6903765690376569,0.8823529411764706,0.119047619047619,0.5716195569136746,0.7365378519589552,0.0020071891231246,0.0016884113584038,0.6383993769064162,0.2210739064096711,0.0849991691508416,0.6669406592845917,0.8809523809523809,0.1176470588235294,0.3239022262336455,0.4928799732237757,"[[10,74],[22,165]]",5,Knowledge Tracing
