Dimension,Subgroup,N,Students,Correct_Rate,Error_Rate,Error_Rate_Cluster_CI_Lower,Error_Rate_Cluster_CI_Upper,ROC_AUC,ROC_AUC_Cluster_CI_Lower,ROC_AUC_Cluster_CI_Upper,Log_Loss,Brier_Score,Cluster_Unit,Bootstrap_Replicates,Publication_Eligible,Eligibility_Rule
Subject,2D Pythagoras,592,202,0.6334459459459459,0.2922297297297297,0.24821098720667714,0.3381565553745928,0.7614132104454685,0.7120060204113106,0.8052273686999057,0.5524241524213065,0.18723907984555196,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,3D Pythagoras,56,34,0.5357142857142857,0.32142857142857145,0.19559957924263677,0.46153846153846156,0.7384615384615385,0.5551283360566449,0.869556011298823,0.6125166383379967,0.21109803324824444,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,3D Shapes-Others,103,18,0.6504854368932039,0.23300970873786409,0.10998109243697479,0.3526633693045562,0.8362354892205638,0.7078111851332398,0.9166997354497354,0.47046954041416084,0.15775928664351754,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Add and Subtract Vectors,105,69,0.6571428571428571,0.2857142857142857,0.18748282967032967,0.39215686274509803,0.7588566827697263,0.6254727728411938,0.8572890823252868,0.5405538618600623,0.18315712182346694,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Adding and Subtracting Algebraic Fractions,103,68,0.49514563106796117,0.33980582524271846,0.24270311701584057,0.4400091743119266,0.808446455505279,0.7114541673332266,0.9021748373262348,0.5671745920488082,0.19553360784383475,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Adding and Subtracting Fractions,1149,386,0.639686684073107,0.2750217580504787,0.24547659374702718,0.3030858871764009,0.7867166190147556,0.7572942800530302,0.8128324508643769,0.5302459468350146,0.17929484392260178,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Adding and Subtracting Negative Numbers,374,132,0.7245989304812834,0.24064171122994651,0.19109077565596344,0.2992131018788892,0.7978003081001683,0.7339205442687178,0.8476217346507582,0.4722990783787043,0.15758273189509325,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Adding and Subtracting with Decimals,255,139,0.6588235294117647,0.2784313725490196,0.2222222222222222,0.33716700473292766,0.7284482758620692,0.6489114885800947,0.7989597623097747,0.5699766825395357,0.1909391406613416,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Angle Facts with Parallel Lines,583,228,0.5694682675814752,0.30874785591766724,0.26732538253825383,0.3480942541096942,0.7260596169538712,0.681584356780465,0.7656781009191199,0.6101312802980028,0.209791092908004,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Angles in Polygons,699,201,0.630901287553648,0.28469241773962806,0.24218767430134444,0.3301241261706016,0.7639174532862241,0.7204824082697893,0.8011044907163678,0.5579327506414914,0.18825530593481116,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Angles in Triangles,380,229,0.6263157894736842,0.2710526315789474,0.2255349181139993,0.3204269734542389,0.7830512486684815,0.7353954023343252,0.8336472370834254,0.5462900628424167,0.18408990050005503,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Area Units,73,42,0.3561643835616438,0.2602739726027397,0.17391304347826086,0.36363636363636365,0.7495908346972178,0.5908848392461197,0.8541902777777778,0.586430514673591,0.19501615465267894,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Area of Non Right-angled Triangles,56,37,0.44642857142857145,0.42857142857142855,0.2950578592092575,0.5490441176470588,0.6374193548387097,0.4866612339380197,0.7871915584415585,0.736828526727205,0.26111495737997736,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Area of Simple Shapes,939,341,0.5250266240681576,0.32055378061767836,0.29052122241086586,0.3514115769228877,0.7371815279382203,0.7035647213629147,0.7702099199197502,0.6096813965254524,0.20889670497577958,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Area of a Circle,337,154,0.5875370919881305,0.314540059347181,0.25949320958039634,0.36612637227391326,0.7171717171717171,0.6565455405006655,0.7754848728445641,0.6080185260907734,0.21047932757788512,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,"Averages (mean, median, mode) from a List of Data",989,343,0.60262891809909,0.29120323559150657,0.2617405139289145,0.3250698267659003,0.7639949109414759,0.7225441303882376,0.7942724568292002,0.5655647875985466,0.19224094510043446,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Averages and Range from Frequency Table,201,104,0.5422885572139303,0.3034825870646766,0.23997484276729558,0.36553436685416374,0.7652572796170722,0.6929811592271515,0.8365343694840989,0.5744995470478443,0.19633474363693468,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Averages and Range from Grouped Data,268,133,0.5485074626865671,0.332089552238806,0.27489229522587616,0.3933853392440008,0.701636026311351,0.6239237184470459,0.7712457013251269,0.6318389675786966,0.21891048006169347,user_id,1000,True,N >= 200 interactions and >= 30 students
