Model,Family,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,FPR,FNR
AdaptiveMath-AI,Proposed,21452,0.7017527503263099,0.6598380232921616,0.6645265604092625,0.6942929260944023,0.7409804311708923,0.8254832372528953,0.3361733607564436,0.3323992980366648,0.5703884153336071,0.1943744552397946,0.0130308350026356,0.4975219214639725,0.1828020319517043
HistGradientBoosting,Classical ML,21452,0.7019392131269812,0.6571519120331496,0.662148481464756,0.6930319697448368,0.7406583689532826,0.825318756499627,0.3338204807757035,0.3287871058071583,0.5706103334603893,0.1944255036915506,0.0118707328042441,0.5109925022239167,0.1747036737097843
MLPClassifier,Classical ML,21452,0.6969513332090248,0.6466643748497153,0.6515284623642477,0.685039925760898,0.7392727721265285,0.8247709209151548,0.3176311750548639,0.3101671453866295,0.576650469321699,0.1963425409023516,0.0319757445409574,0.5421273351124667,0.1645439151881027
Logistic Regression,Classical ML,21452,0.6965784076076823,0.6327644432908017,0.6359396815252436,0.6755158872174257,0.7374076676152876,0.8227722021837985,0.3064206302944994,0.2890221025211796,0.5776881818064586,0.1970884135089828,0.0362000121895833,0.6068115389503114,0.1276595744680851
Subject-graph embedding proxy,Knowledge Tracing,21452,0.694620548200634,0.6284384984568454,0.6307657598494949,0.6716654639901078,0.7374060490476333,0.8232074562291662,0.3001728133897333,0.2809616866287575,0.5785384382213357,0.1976913638426125,0.0429935923487687,0.6200279578091245,0.1230950452771847
Gated MLP proxy,Deep Tabular,21452,0.6989558083162409,0.6400144709304173,0.644376658071147,0.6814858042515929,0.737358259200362,0.8236096443437935,0.3153579433386423,0.3017238015305693,0.5790960259651513,0.1977757833787002,0.0419783215826013,0.5812682678866438,0.1387027902525215
Random Forest,Classical ML,21452,0.6748088756293119,0.6742456518092166,0.6637051609022055,0.6799818735627201,0.7363803683386574,0.8211820534276393,0.3374946391432182,0.332358224316755,0.6016845559028592,0.2074400035508425,0.1072232154626365,0.3278688524590163,0.3236398439225502
Extra Trees,Classical ML,21452,0.6754614954316613,0.6731037570070764,0.6635522465506388,0.6804128630288754,0.7349718729897425,0.8202672062398055,0.335734484370813,0.3313458156867606,0.599542981254219,0.2067238246358556,0.1008407722840978,0.335747871394078,0.3180446145917691
Residual MLP,Deep Tabular,21452,0.6948070110013053,0.6358562349663249,0.6398326118778616,0.6773130696503658,0.7349384163542994,0.8206596200647436,0.3055310388565421,0.2925692203641388,0.5762667129678669,0.1968368043006917,0.0207160964084443,0.5854619392553057,0.1428255908120444
Compact numeric-token Transformer proxy,Deep Tabular,21452,0.6942476225992914,0.6331959365868396,0.6367457200538236,0.6752420142711408,0.7329975245177214,0.8201732260808909,0.3026523436007301,0.2881172512672143,0.5798685335305561,0.1982008365435016,0.0344099373982654,0.5960096581522429,0.1375984686740778
