Model,Family,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,FPR,FNR
AdaptiveMath-AI,Proposed,22687,0.7281703178031472,0.6733773909111611,0.6804393505495251,0.7197488070434125,0.7694225609252745,0.8618982785025586,0.3690753685173188,0.3643532524310817,0.5352453785612777,0.180123951666407,0.0093802454554448,0.4987714987714988,0.1544737194061789
HistGradientBoosting,Classical ML,22687,0.7260104905893243,0.6690851556826511,0.67632077703877,0.7166863323935402,0.7689823904302693,0.8617786503450924,0.3621855580145231,0.3567492580163318,0.5354317994776187,0.1802756931745223,0.0078449377636277,0.509763351868615,0.1520663367660826
Random Forest,Classical ML,22687,0.7095693569004276,0.6973584028306229,0.688456268791599,0.7142702899961115,0.7667192624042755,0.8595621020801215,0.382094468129348,0.3791500250531432,0.5626561113362463,0.1907723889556498,0.0973918983490961,0.3410060778481831,0.264277116490571
MLPClassifier,Classical ML,22687,0.7261868030149424,0.6674704621566225,0.674980599614662,0.7160422314584627,0.7660222587684347,0.8594108972592269,0.3609500792464796,0.3546976574236834,0.5380051752178385,0.1812423752415979,0.0068559001227198,0.5170050433208327,0.1480540323659221
Extra Trees,Classical ML,22687,0.7071891391545819,0.6974886353929455,0.6872528052227522,0.7123855334562966,0.7651246182936348,0.8575567028561698,0.3811355075043656,0.3773855997572696,0.563034820814822,0.1912727739765115,0.0964802343888085,0.3329884908832277,0.2720342383308813
Logistic Regression,Classical ML,22687,0.723101335566624,0.6456161453856138,0.6532077525176891,0.7027611706027513,0.7649909050801612,0.8573071215725434,0.338792503587797,0.3209320744029604,0.5413643400177282,0.1823790149125765,0.0247438006145701,0.5978274925643347,0.1109402166644376
Gated MLP proxy,Deep Tabular,22687,0.7216908361616785,0.6468878542500809,0.6545298769563841,0.7030122608833491,0.7646005965343161,0.8589572821863635,0.3371275716745069,0.3217202850695277,0.5415520267484709,0.1828920126165593,0.0293533675503635,0.5881287986551145,0.1180954928447238
Subject-graph embedding proxy,Knowledge Tracing,22687,0.7177678846916736,0.6329531084428559,0.6386450855101272,0.6924643896632873,0.7641672922182274,0.8576279007851079,0.3205016061910451,0.2974339122100067,0.5428012035364607,0.1833810127933339,0.0309099662086256,0.6335186861502651,0.100575096964023
Compact numeric-token Transformer proxy,Deep Tabular,22687,0.7197513994798783,0.6436370168745946,0.6509393646186099,0.7002684327942497,0.762273476412626,0.8566222337759078,0.3313686950204062,0.315354940211199,0.5430873549132222,0.1832651126337553,0.0265862909597418,0.5954998060261218,0.117226160224689
Residual MLP,Deep Tabular,22687,0.7178560409044827,0.6383277353797475,0.6449945391621336,0.696184741933247,0.7614246515297457,0.8562363655119761,0.3241796817219415,0.305847355179455,0.5439001436361603,0.1836891571500172,0.0268516630057792,0.6115349799560326,0.1118095492844723
