model,scenario,seed,prediction_kind,N,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
HGB80,learner_feedback,20260713,frozen_object,143565,0.7600481720243191,0.8517744704374832,0.6066409301859826,0.5475430028922017,0.1856097920697043,0.006241134295860922,-0.03113667422519973,1.0231835930958726,0.7176818862534126,
HGB80,outcome_free,20260713,frozen_object,143565,0.6681134133095817,0.7813580625585768,0.5168765671539537,0.6080165202063021,0.21008412847678126,0.030288725646754663,0.005620061149274629,0.8228666794806043,0.6733256712985571,
HGB80,no_feedback,20260713,frozen_object,143565,0.6700715057378696,0.7829431312255747,0.517556520583037,0.6088178406090594,0.21045450973722413,0.03606752808134646,-0.03038826318093455,0.8247901206388691,0.6734510500468592,
HGB80,history_cap_0,20260713,frozen_object,1336,0.6282412423257488,0.7660142428401445,0.44670367811968004,0.6076234730242972,0.20915367387364275,0.03442400550628839,-0.617116688984683,1.5413506166805273,0.684131736526947,
HGB80,history_cap_1,20260713,frozen_object,1336,0.6546251870195527,0.7859209311233437,0.472917132514403,0.5954862684452464,0.2038601190807932,0.03375258331254487,-0.2860947424379765,1.2267844517531494,0.6953592814371268,
HGB80,history_cap_5,20260713,frozen_object,1336,0.669127586028994,0.8082823872311252,0.47154641202942826,0.5872323610712904,0.20137521363324482,0.03240095547265002,0.17624514773960726,0.8482648015398092,0.6901197604790429,
HGB80,history_cap_10,20260713,frozen_object,1336,0.7027691791776295,0.8326609698003216,0.5030063340637762,0.5688951995799634,0.19426984099513966,0.028332143859763615,0.10891325503713499,0.9380410144177449,0.6916167664670668,
HGB80,history_cap_20,20260713,frozen_object,1336,0.7259634731465713,0.8482735995762918,0.5380021364347344,0.5545827989496043,0.1880363513345449,0.03455679823601062,0.057330965827183396,1.0198751189992628,0.7193113772455102,
HGB80,history_cap_50,20260713,frozen_object,1336,0.7287352319042455,0.8449685356867457,0.5448066122435689,0.5536790347247895,0.18710955534731444,0.030395472390442112,0.11031579034660571,0.9365909416688256,0.7170658682634743,
HGB100,learner_feedback,20260713,frozen_object,143565,0.7600422789370249,0.8517683368384037,0.6064947055411557,0.5475496044368009,0.18561895039478962,0.006086070837597206,-0.029342825374448347,1.0176474195387974,0.7175565075051105,
HGB100,outcome_free,20260713,frozen_object,143565,0.6686714173709136,0.7817804404429652,0.5168236663172977,0.6080683173013393,0.21007383412984082,0.0313373955927465,0.007088473151558575,0.816964191684402,0.6736530491413459,
HGB100,no_feedback,20260713,frozen_object,143565,0.6700378812253085,0.7830507903624682,0.5169773246804797,0.6091377653546507,0.21056512923473475,0.03754168971628808,-0.02998328108283478,0.8189280109954394,0.6737923588616814,
HGB100,history_cap_0,20260713,frozen_object,1336,0.6275486250838357,0.7667927817888588,0.44696551917877697,0.607928471962224,0.20929452391399347,0.03630892903616328,-0.6456603672922151,1.5633918388359949,0.684880239520959,
HGB100,history_cap_1,20260713,frozen_object,1336,0.6523512872104416,0.7842249821407923,0.46849649739914956,0.5964255201736297,0.20427375123557967,0.030380220438026375,-0.25681489468568636,1.1871550218293399,0.6931137724550909,
HGB100,history_cap_5,20260713,frozen_object,1336,0.6688644688644683,0.8085089745609166,0.46910527551345815,0.5877786968387542,0.201667627822742,0.04095986142882249,0.18374171321395608,0.8359399952407124,0.6878742514970069,
HGB100,history_cap_10,20260713,frozen_object,1336,0.7032218954754162,0.8327623551895625,0.5054856855464999,0.5685643822716944,0.19410498656565284,0.03301753913075363,0.11292820158904983,0.9356457143077072,0.6908682634730549,
HGB100,history_cap_20,20260713,frozen_object,1336,0.7251895991332606,0.8479621712600983,0.5354259918265797,0.5552254315470248,0.18833253069267575,0.027658992409263995,0.060699537263548015,1.0093736594885017,0.7193113772455102,
HGB100,history_cap_50,20260713,frozen_object,1336,0.7276363308053444,0.8442262199416193,0.542359322774275,0.5545092950848023,0.18746409508047585,0.03571694423099177,0.11514282152712575,0.9258399275485338,0.7170658682634742,
AdaptiveMath-AI,learner_feedback,20260713,frozen_object,143565,0.7628335998317952,0.8534958906075427,0.6084417803356643,0.545591393986053,0.18474559066920576,0.008018599687413787,-0.033189886477548856,1.0249076255975411,0.7180231950682348,
AdaptiveMath-AI,outcome_free,20260713,frozen_object,143565,0.6755194786799825,0.7869293845732497,0.5227862352441848,0.6054347934787445,0.20905325959504473,0.032913810053987164,-0.022458177936080802,0.8363906734104417,0.6751227666908864,
AdaptiveMath-AI,no_feedback,20260713,frozen_object,143565,0.6761792292896054,0.7877099072916782,0.5227150354060923,0.6067162696767215,0.2095853425080811,0.03876488384888841,-0.04627367536862011,0.8293938852148532,0.6747535959319971,
AdaptiveMath-AI,history_cap_0,20260713,frozen_object,1336,0.6396855491925907,0.7762542702333421,0.45632986514755813,0.6047687490818396,0.20791627401780324,0.04450775624620931,-0.5342885033136439,1.3623984082528522,0.687125748502995,
