contrast,cluster,metric,delta,lower,upper,B_requested,B_valid,B_invalid,count_delta_le0,count_delta_ge0,p_two_sided,p_formula,minimum_p_resolution,uncertainty,estimator,model_lower,model_upper,comparator_lower,comparator_upper,scenario
scenario_history_cap_0,student,ROC_AUC,0.01213692410875511,-0.006301278112607686,0.031107288139525815,5000,5000,0,535,4465,0.21435712857428516,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.6068767142285308,0.6726126965026296,0.5953852969232573,0.6611207606781149,history_cap_0
scenario_history_cap_0,student,Log_Loss,-0.003159722880386129,-0.007366788287612181,0.0009289178282711219,5000,5000,0,4668,332,0.1331733653269346,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5801560241713336,0.6294397691160524,0.5851233710275586,0.6312376551917142,history_cap_0
scenario_history_cap_0,student,Brier,-0.0013782498961896206,-0.0031278313417703735,0.0002976859085402951,5000,5000,0,4718,282,0.11317736452709458,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.1967983821617153,0.218949508519517,0.19879682411318897,0.22003895660157208,history_cap_0
scenario_history_cap_0,student,ECE15,0.008198827210046007,-0.012260083095997656,0.016028884579205503,5000,5000,0,928,4072,0.3715256948610278,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.028164259596813544,0.06953323732100493,0.023033836283450376,0.06371581257971823,history_cap_0
scenario_history_cap_1,student,ROC_AUC,0.002842697208894407,-0.012220806414741839,0.0182573860508307,5000,5000,0,1744,3256,0.6978604279144172,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.6247181366751728,0.6862222419526182,0.6218797466439352,0.6832553602398551,history_cap_1
scenario_history_cap_1,student,Log_Loss,-0.0014044694686581316,-0.007071721882739348,0.004232355686673279,5000,5000,0,3452,1548,0.6194761047790442,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5719659470906635,0.6185787463635746,0.5730578990845258,0.6198656793492543,history_cap_1
scenario_history_cap_1,student,Brier,-0.0005308360548755553,-0.0029962873670960205,0.0019666030879587405,5000,5000,0,3322,1678,0.6714657068586283,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.19330121095959316,0.21429054580575868,0.19389822746832694,0.21469351780565699,history_cap_1
scenario_history_cap_1,student,ECE15,-0.0033102199592375155,-0.02209314660926832,0.017217192651210404,5000,5000,0,3091,1909,0.7638472305538893,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.021917102132413026,0.05750781452040148,0.023328952424233915,0.061889262399962244,history_cap_1
scenario_history_cap_10,student,ROC_AUC,0.009652788526028022,0.0024116804810181414,0.016963654735644675,5000,5000,0,23,4977,0.009598080383923215,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.6850069887734804,0.7406053259690983,0.6750773330276959,0.7310486526557531,history_cap_10
scenario_history_cap_10,student,Log_Loss,-0.006254541805914893,-0.010735136784286475,-0.001796982539042139,5000,5000,0,4985,15,0.00639872025594881,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5399344861429888,0.5854455250380963,0.5458985237819705,0.5923007194089586,history_cap_10
scenario_history_cap_10,student,Brier,-0.0028322778418352623,-0.0047204319551828735,-0.0009824706069294204,5000,5000,0,4993,7,0.003199360127974405,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.18161447497572858,0.20120119187338686,0.18440060785847243,0.20421173713403062,history_cap_10
