model,seed,N,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
DKT-inspired GRU proxy,20260713,143565,0.6095060072705732,0.7260867905907009,0.4490400910488608,0.633730560391567,0.22133770280285003,0.021707209820497828,-0.258788275913787,1.2325177433261214,0.647838957963159,
SAKT-inspired attention proxy,20260713,143565,0.6395561162895096,0.7464928245324107,0.471569658293814,0.6257843840659578,0.21789050504534452,0.033144988839057574,-0.3825932119831835,1.3474868500203652,0.6473374429699509,
HGB80,20260713,143565,0.7300683986023531,0.8298535742199595,0.5679334746988469,0.5710781841569443,0.19506560822784966,0.010206380686402347,-0.040844889634398064,0.9945130243408269,0.6978023891615223,
HGB100,20260713,143565,0.7299578220417555,0.8295989139721486,0.5676990464027768,0.5711778284381797,0.195107024643516,0.010254525532076774,-0.04108807562091691,0.9955533519900855,0.6979834917979585,
DKT-inspired GRU proxy,20260714,143565,0.6222857355240494,0.7362975094915111,0.4594314344386652,0.6301061721420399,0.21970983358541193,0.028299259867932962,-0.2207904347492627,1.1256020243009401,0.6502420506389481,
SAKT-inspired attention proxy,20260714,143565,0.625818669150009,0.7395429119435518,0.4565604738085194,0.6306180062246802,0.22001707315410624,0.03300639554548221,-0.3336784701933979,1.270295253753869,0.6474837181763032,
HGB80,20260714,143565,0.7300683986023531,0.8298535742199595,0.5679334746988469,0.5710781841569443,0.19506560822784966,0.010206380686402347,-0.040844889634398064,0.9945130243408269,0.6978023891615223,
HGB100,20260714,143565,0.7299578220417555,0.8295989139721486,0.5676990464027768,0.5711778284381797,0.195107024643516,0.010254525532076774,-0.04108807562091691,0.9955533519900855,0.6979834917979585,
DKT-inspired GRU proxy,20260715,143565,0.6323146296795522,0.745373213220823,0.4699560449690089,0.626378493530499,0.21804503274608072,0.028566148635210294,-0.18414601490996593,1.0718234288577528,0.6520112840872102,
SAKT-inspired attention proxy,20260715,143565,0.6174547514018156,0.7292038323547212,0.45197296674809834,0.6342784043416912,0.2216441869344765,0.03303901385197179,-0.43193648810647234,1.3916563535178317,0.6474837181763032,
HGB80,20260715,143565,0.7300683986023531,0.8298535742199595,0.5679334746988469,0.5710781841569443,0.19506560822784966,0.010206380686402347,-0.040844889634398064,0.9945130243408269,0.6978023891615223,
HGB100,20260715,143565,0.7299578220417555,0.8295989139721486,0.5676990464027768,0.5711778284381797,0.195107024643516,0.010254525532076774,-0.04108807562091691,0.9955533519900855,0.6979834917979585,
