model,scenario,prediction_kind,weighting,N,students,questions,prevalence,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
Ablation_no_question,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7595930516357572,0.8511631655973778,0.6059033659058592,0.5479490893743186,0.1857416231210178,0.0046682850569057,-0.0171708492224511,1.0142670771350073,0.7171803712602043,
Ablation_no_question,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7365464080212987,0.8404472994317568,0.5688597424888937,0.5587108962223368,0.1897310361581246,0.0048552932972483,0.0125025856936589,0.9790577804386824,0.7100251160712764,
Ablation_no_subject,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7640863153145949,0.8543455390297721,0.6109112138219279,0.5443930191751074,0.184276144677673,0.0066434081056063,-0.0190877816641647,1.0293887187715935,0.7195207745618425,
Ablation_no_subject,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7420144072747727,0.8441406812826897,0.576116531098233,0.5547827411533626,0.188107355397089,0.0053626269754478,0.0066939318253305,0.9981774334168978,0.7127653073405587,
AdaptiveMath-AI,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7641311173175793,0.8543730028094478,0.6109370872946555,0.5443652401196317,0.1842623386037043,0.0065869946965653,-0.0190323088328036,1.0299693665400431,0.7194929126177754,
AdaptiveMath-AI,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7420252489026206,0.8442016602511059,0.5759894474498155,0.5547836731426957,0.1881154989847213,0.0047427470829412,0.0069737138761735,0.9985641236337104,0.712628939126281,
Converged_item_intercept,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.764294018928359,0.8544828627635735,0.6111285470323989,0.5442649713456937,0.1842232619644904,0.0074807109748746,-0.0285736769716875,1.03528566945343,0.719534705533876,
Converged_item_intercept,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7421575003438278,0.8442745694464318,0.5763482848966321,0.5546760834420938,0.1880698459377117,0.0041468845738486,-0.0013168727487109,1.002728394667776,0.7131118183360481,
HGB100,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7599490189998656,0.8516796101799723,0.6055575871423174,0.5475526411419628,0.1856360143706241,0.0051652436511477,-0.0115885778655703,1.0095220293857037,0.717347542924607,
HGB100,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.73725551693453,0.8409812381599945,0.5691093921681735,0.5582743705657502,0.1895511188120814,0.004956104522843,0.018392763204885,0.9743820268930284,0.7116716556777121,
HGB80,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7601640521190307,0.8517788197230892,0.605928053156558,0.5474158673872095,0.1855732317814782,0.0056729193380457,-0.0263273145288911,1.0192534320939015,0.7172082332042715,
HGB80,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7375502880527968,0.8412725971631465,0.5696643090187277,0.558007107270847,0.1894545703356332,0.0042032632078681,0.0038622852078597,0.9842584219988674,0.7115158083954717,
HGB80_anchor,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7595864995923206,0.8511692708371048,0.605712548479,0.5479769797754599,0.1857546239719666,0.0056519209184408,-0.0249189680956696,1.020093258469889,0.7168042350152982,
HGB80_anchor,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7367903924401371,0.8406024450270373,0.5696184425737766,0.5584894447358734,0.1896372917279503,0.0046516405914121,0.0063440121903021,0.9847633491334556,0.7107210804127471,
No_calibration,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7642198955027053,0.8544195989841351,0.6111463245565362,0.5443161827999897,0.1842444377972318,0.0075083310270497,-0.029843908613051,1.0336437136418208,0.7196113258800606,
No_calibration,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7421228559855139,0.8442269572838699,0.5763778740967581,0.5546996504722862,0.1880759959479206,0.0043628690767173,-0.0020160945062889,1.0014269146858643,0.7130046232319547,
Plus_hierarchy,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7642198955027053,0.8544195989841351,0.6111463245565362,0.5443161827999897,0.1842444377972318,0.0075083310270497,-0.029843908613051,1.0336437136418208,0.7196113258800606,
Plus_hierarchy,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7421228559855139,0.8442269572838699,0.5763778740967581,0.5546996504722862,0.1880759959479206,0.0043628690767173,-0.0020160945062889,1.0014269146858643,0.7130046232319547,
Plus_question_memory,global_calendar_learner_feedback,mean_temporal_outer_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7642968029117772,0.8544839399765467,0.6111356362631334,0.5442622460379509,0.1842217838621183,0.0075064701115121,-0.0283066010949684,1.035395933077346,0.7195138090758257,
Plus_question_memory,global_calendar_learner_feedback,mean_temporal_outer_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7421662249685403,0.8442777932685845,0.576361748118958,0.5546697515583696,0.1880667695002498,0.0041158728862397,-0.0010819186117074,1.002883727437161,0.7130873493775757,
AdaptiveMath-AI,history_cap_0,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.6396855491925907,0.7762542702333421,0.45632986514755813,0.6047687490818396,0.20791627401780324,0.0445077562462093,-0.5342885033136436,1.3623984082528517,0.687125748502995,
AdaptiveMath-AI,history_cap_0,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.6396855491925907,0.7762542702333421,0.45632986514755813,0.6047687490818396,0.20791627401780324,0.0445077562462093,-0.5342885033136436,1.3623984082528517,0.687125748502995,
HGB100,history_cap_0,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.6275486250838357,0.7667927817888588,0.44696551917877697,0.607928471962224,0.2092945239139935,0.03630892903616328,-0.6456603672922151,1.5633918388359949,0.684880239520959,
HGB100,history_cap_0,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.6275486250838357,0.7667927817888588,0.44696551917877697,0.607928471962224,0.2092945239139935,0.03630892903616328,-0.6456603672922151,1.5633918388359949,0.684880239520959,
HGB80,history_cap_0,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.6282412423257488,0.7660142428401445,0.44670367811968004,0.6076234730242972,0.20915367387364275,0.03442400550628839,-0.6171166889846824,1.5413506166805269,0.684131736526947,
HGB80,history_cap_0,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.6282412423257488,0.7660142428401445,0.44670367811968004,0.6076234730242972,0.20915367387364275,0.03442400550628839,-0.6171166889846824,1.5413506166805269,0.684131736526947,
AdaptiveMath-AI,history_cap_1,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.6551939844193359,0.7869020930754738,0.46574165047612626,0.5950210507049722,0.20374291518070375,0.02707000047878882,-0.06591795688813322,1.0152053995438781,0.6953592814371268,
AdaptiveMath-AI,history_cap_1,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.6551939844193359,0.7869020930754738,0.46574165047612626,0.5950210507049722,0.20374291518070375,0.02707000047878882,-0.06591795688813322,1.0152053995438781,0.6953592814371268,
HGB100,history_cap_1,mean_frozen_object_probabilities,interaction,1336,1336,1197,0.6811377245508982,0.6523512872104416,0.7842249821407923,0.46849649739914956,0.5964255201736297,0.20427375123557973,0.030380220438026365,-0.25681489468568625,1.1871550218293396,0.6931137724550909,
HGB100,history_cap_1,mean_frozen_object_probabilities,equal_student,1336,1336,1197,0.6811377245508982,0.6523512872104416,0.7842249821407923,0.46849649739914956,0.5964255201736297,0.20427375123557973,0.030380220438026365,-0.25681489468568625,1.1871550218293396,0.6931137724550909,
