contrast,cluster,metric,delta,lower,upper,B_requested,B_valid,B_invalid,count_delta_le0,count_delta_ge0,p_two_sided,p_formula,minimum_p_resolution,uncertainty,estimator,model_lower,model_upper,comparator_lower,comparator_upper,test_family,interpretation
Adaptive_vs_HGB100,student,ROC_AUC,0.004182098317717098,0.0035003297391440922,0.0049132446066676985,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.755417269412954,0.7722368206689842,0.7510271332324295,0.768326141795887,designated_primary_contrast,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,student,Log_Loss,-0.0031874010223081894,-0.0037709350848330963,-0.0026196982787771777,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5336319412675183,0.554843228741191,0.5365643770957251,0.5581814631500484,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,student,Brier,-0.0013736757669173816,-0.0016087608729223005,-0.0011436866618794036,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.1799936471064866,0.18844767695872597,0.18138049534053055,0.18982536982532128,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,student,ECE15,0.0014217510454175497,-0.0009825394834239885,0.003335825071965872,5000,5000,0,684,4316,0.27394521095780844,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.005084852271170071,0.009569568697483101,0.004085607039118229,0.008203080922436115,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,student,AP_correct,0.0026933926294780974,0.002129757760010803,0.0033166201611844765,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.84314452722063,0.8648552171994015,0.8401393219907354,0.862429688226835,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,student,AP_incorrect,0.005379500152343453,0.0035777054695953795,0.00730334977581917,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5962846523772454,0.6250278380420108,0.5904603860009962,0.6199569354994322,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,student,Calibration_Intercept,-0.007438857232371272,-0.010923424503135559,-0.0038949067989671703,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,-0.03571639017556767,-0.0020385345409476693,-0.02841702319562088,0.005723655701129894,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,student,Calibration_Slope,0.020444735164468986,0.01595752343791412,0.024974230702505682,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,1.0126274113020735,1.0464591437543769,0.9919698691492658,1.0260497363918326,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,question,ROC_AUC,0.004182098317717098,0.0035164068486578494,0.004826795684162846,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7613366782651265,0.7668831596703298,0.7570756931511817,0.7627860109344226,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,question,Log_Loss,-0.0031874010223081894,-0.003705521460473113,-0.0026464778762892577,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5413834191606559,0.5472535935048696,0.5445761046426509,0.550461035647914,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,question,Brier,-0.0013736757669173816,-0.0015925128391601137,-0.0011470513257155902,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.18301740328294588,0.18546300959964332,0.18439015475861814,0.18686715170132825,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,question,ECE15,0.0014217510454175497,-0.0007902363802109505,0.003316622562483738,5000,5000,0,551,4449,0.22075584883023394,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.00521218239435743,0.009419318759065072,0.003974455078111072,0.008038882487352413,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,question,AP_correct,0.0026933926294780974,0.0021898853202582,0.0031932027735791205,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.851602359056846,0.8571977971095717,0.8488620252687217,0.8545547603835103,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,question,AP_incorrect,0.005379500152343453,0.0035651710473881743,0.00715376391401247,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.6057597751146494,0.6160943056398275,0.6004178790406828,0.610776280636713,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,question,Calibration_Intercept,-0.007438857232371272,-0.01092022204636466,-0.004071279346044255,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,-0.035128563185549425,-0.0018186707299445845,-0.028545718231416738,0.006140855424299896,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,question,Calibration_Slope,0.020444735164468986,0.01641988023292007,0.024438624933503607,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,1.0152226432333444,1.0445023133700755,0.99452059064984,1.0244387199537532,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,crossed,ROC_AUC,0.004182098317717098,0.00314522223046336,0.005298416862979778,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.7547744325882779,0.7733579270500774,0.7503260341579323,0.7692479001732865,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,crossed,Log_Loss,-0.0031874010223081894,-0.004115051292023173,-0.0023194454990266987,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.5326985718128124,0.5555986725713515,0.5358735365075941,0.5590534002288821,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,crossed,Brier,-0.0013736757669173816,-0.001752286307320533,-0.0010169545422402105,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.17972883272313095,0.18870082041542208,0.1810911829293301,0.19014124913764066,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,crossed,ECE15,0.0014217510454175497,-0.0021258935849238656,0.004239600221514129,5000,5000,0,1232,3768,0.4931013797240552,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.005454173637853144,0.011825557210427207,0.004528091207947838,0.010681299325547422,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,crossed,AP_correct,0.0026933926294780974,0.0018392010098555428,0.003612563070982297,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.8421693595115726,0.8655433203471656,0.839283702232507,0.8631810167200082,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
Adaptive_vs_HGB100,crossed,AP_incorrect,0.005379500152343453,0.0023065708506889242,0.008453475910431295,5000,5000,0,2,4998,0.0011997600479904018,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.5950939803576948,0.626598263089111,0.5894042716653415,0.6214257019012935,supporting_or_dependence_sensitivity,Retrospective technical evaluation; nominal supporting p-values do not establish independent confirmation.
