model,policy,budget,N,reviewed,incorrect_found,incorrect_missed,selection_precision,selection_recall,accepted_classifier_error,coverage,mode,random_found_lower,random_found_upper
AdaptiveMath-AI,entropy,0.05,143565,7178,3599.0,47010.0,0.5013931457230426,0.07111383350787409,0.2694245052680974,0.9500017413715042,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
AdaptiveMath-AI,one_minus_p,0.05,143565,7178,5300.0,45309.0,0.738367233212594,0.10472445612440474,0.28150043625858767,0.9500017413715042,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
AdaptiveMath-AI,random_expectation,0.05,143565,7178,2530.3618709295442,48078.63812907046,0.35251628182356426,0.0499982586284958,0.28050708738202207,0.9500017413715042,exact hypergeometric random-selection distribution at same budget,2453.0,2608.0
AdaptiveMath-AI,entropy,0.1,143565,14356,7275.0,43334.0,0.5067567567567568,0.1437491355292537,0.25870488897832195,0.9000034827430083,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
AdaptiveMath-AI,one_minus_p,0.1,143565,14356,10218.0,40391.0,0.7117581499024798,0.20190084767531466,0.27964770255941923,0.9000034827430083,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
AdaptiveMath-AI,random_expectation,0.1,143565,14356,5060.7237418590885,45548.27625814091,0.35251628182356426,0.0999965172569916,0.28050708738202207,0.9000034827430083,exact hypergeometric random-selection distribution at same budget,4954.0,5167.0
AdaptiveMath-AI,entropy,0.2,143565,28713,14497.0,36112.0,0.5048932539267927,0.28645102649726334,0.2373750565945739,0.8,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
AdaptiveMath-AI,one_minus_p,0.2,143565,28713,19095.0,31514.0,0.6650297774527217,0.3773044320180205,0.26689130359070806,0.8,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
AdaptiveMath-AI,random_expectation,0.2,143565,28713,10121.8,40487.2,0.35251628182356426,0.2,0.28050708738202207,0.8,exact hypergeometric random-selection distribution at same budget,9980.0,10264.0
AdaptiveMath-AI,entropy,0.3,143565,43069,21609.0,29000.0,0.5017297824421277,0.42697939101740795,0.21519264448336253,0.7000034827430084,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
AdaptiveMath-AI,one_minus_p,0.3,143565,43069,26666.0,23943.0,0.6191460215003831,0.5269023296251655,0.2382482884890941,0.7000034827430084,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
AdaptiveMath-AI,random_expectation,0.3,143565,43069,15182.523741859088,35426.476258140916,0.35251628182356426,0.2999965172569916,0.28050708738202207,0.7000034827430084,exact hypergeometric random-selection distribution at same budget,15020.0,15345.0
HGB100,entropy,0.05,143565,7178,3655.0,46954.0,0.5091947617720813,0.07222035606315082,0.272086049256894,0.9500017413715042,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
HGB100,one_minus_p,0.05,143565,7178,5242.0,45367.0,0.7302869880189468,0.10357841490643957,0.2833334555346184,0.9500017413715042,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
HGB100,random_expectation,0.05,143565,7178,2530.3618709295442,48078.63812907046,0.35251628182356426,0.0499982586284958,0.28265245707519243,0.9500017413715042,exact hypergeometric random-selection distribution at same budget,2453.0,2608.0
HGB100,entropy,0.1,143565,14356,7278.0,43331.0,0.5069657286152132,0.14380841352328638,0.26168455757725856,0.9000034827430083,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
HGB100,one_minus_p,0.1,143565,14356,10107.0,40502.0,0.7040261911395932,0.19970756189610545,0.28117236415419977,0.9000034827430083,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
HGB100,random_expectation,0.1,143565,14356,5060.7237418590885,45548.27625814091,0.35251628182356426,0.0999965172569916,0.28265245707519243,0.9000034827430083,exact hypergeometric random-selection distribution at same budget,4954.0,5167.0
HGB100,entropy,0.2,143565,28713,14441.0,36168.0,0.5029429178420924,0.2853445039419866,0.24066624873750567,0.8,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
HGB100,one_minus_p,0.2,143565,28713,18925.0,31684.0,0.659109114338453,0.3739453456895019,0.26809284992860377,0.8,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
HGB100,random_expectation,0.2,143565,28713,10121.8,40487.2,0.35251628182356426,0.2,0.28265245707519243,0.8,exact hypergeometric random-selection distribution at same budget,9980.0,10264.0
HGB100,entropy,0.3,143565,43069,21447.0,29162.0,0.49796837632636004,0.42377837933964313,0.21926245820729184,0.7000034827430084,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
HGB100,one_minus_p,0.3,143565,43069,26488.0,24121.0,0.6150131184842926,0.523385168645893,0.2400195032638115,0.7000034827430084,"diagnostic top-k; AnswerId ties only for selection, no labels used for ordering",,
HGB100,random_expectation,0.3,143565,43069,15182.523741859088,35426.476258140916,0.35251628182356426,0.2999965172569916,0.28265245707519243,0.7000034827430084,exact hypergeometric random-selection distribution at same budget,15020.0,15345.0
