model,seed,fold,route,N,route_fraction,support_median,support_min,support_max,clipped_fraction,mean_abs_correction,shrinkage_lambda
AdaptiveMath-AI,20260713,0,parent,29,0.0010669217468084323,451.0,1,3209,0.2413793103448276,0.07204176131066067,100.0
AdaptiveMath-AI,20260713,0,question,18380,0.6762076450461719,3.0,1,28,0.005168661588683352,0.11594102520744992,5.0
AdaptiveMath-AI,20260713,0,subject,8750,0.3219160442956477,280.0,1,1122,0.08857142857142856,0.06854560672214331,100.0
AdaptiveMath-AI,20260713,0,zero,22,0.0008093889113719142,0.0,0,0,0.0,0.0,0.0
Plus_question_memory,20260713,0,question,18380,0.6762076450461719,3.0,1,28,0.005168661588683352,0.11594102520744992,5.0
Plus_question_memory,20260713,0,zero,8801,0.323792354953828,0.0,0,0,0.0,0.0,0.0
Plus_hierarchy,20260713,0,parent,29,0.0010669217468084323,451.0,1,3209,0.2413793103448276,0.07204176131066067,100.0
Plus_hierarchy,20260713,0,question,18380,0.6762076450461719,3.0,1,28,0.005168661588683352,0.11594102520744992,5.0
Plus_hierarchy,20260713,0,subject,8750,0.3219160442956477,280.0,1,1122,0.08857142857142856,0.06854560672214331,100.0
Plus_hierarchy,20260713,0,zero,22,0.0008093889113719142,0.0,0,0,0.0,0.0,0.0
No_calibration,20260713,0,parent,29,0.0010669217468084323,451.0,1,3209,0.2413793103448276,0.07204176131066067,100.0
No_calibration,20260713,0,question,18380,0.6762076450461719,3.0,1,28,0.005168661588683352,0.11594102520744992,5.0
No_calibration,20260713,0,subject,8750,0.3219160442956477,280.0,1,1122,0.08857142857142856,0.06854560672214331,100.0
No_calibration,20260713,0,zero,22,0.0008093889113719142,0.0,0,0,0.0,0.0,0.0
Ablation_no_question,20260713,0,parent,29,0.0010669217468084323,451.0,1,3209,0.2413793103448276,0.07204176131066067,100.0
Ablation_no_question,20260713,0,subject,27130,0.9981236893418196,262.0,1,1122,0.07239218577220789,0.06439605985884483,100.0
Ablation_no_question,20260713,0,zero,22,0.0008093889113719142,0.0,0,0,0.0,0.0,0.0
Ablation_no_subject,20260713,0,parent,8779,0.32298296604245613,1214.0,1,3209,0.24797812962752022,0.09325601936609813,100.0
Ablation_no_subject,20260713,0,question,18380,0.6762076450461719,3.0,1,28,0.005168661588683352,0.11594102520744992,5.0
Ablation_no_subject,20260713,0,zero,22,0.0008093889113719142,0.0,0,0,0.0,0.0,0.0
AdaptiveMath-AI,20260713,1,parent,31,0.0019390754988428097,36.0,4,6006,0.0,0.016133595017464055,500.0
AdaptiveMath-AI,20260713,1,question,11132,0.6963157565521987,3.0,1,29,0.008084800574919152,0.12211804910775809,5.0
AdaptiveMath-AI,20260713,1,subject,4823,0.3016826171264152,256.0,1,2212,0.0,0.019203262381472786,500.0
AdaptiveMath-AI,20260713,1,zero,1,6.255082254331645e-05,0.0,0,0,0.0,0.0,0.0
