contrast,cluster,metric,delta,lower,upper,B_requested,B_valid,B_invalid,count_delta_le0,count_delta_ge0,p_two_sided,p_formula,minimum_p_resolution,uncertainty,estimator,model_lower,model_upper,comparator_lower,comparator_upper,family,Holm_p
Adaptive_vs_HGB80_anchor,student,ROC_AUC,0.004544617725261602,0.003986162470390039,0.005158913738466183,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.755417269412954,0.7722368206689842,0.7505925253547931,0.7680574618741204,matched_ablation,0.001999600079984003
Adaptive_vs_HGB80_anchor,student,Log_Loss,-0.0036117396558251746,-0.004052404439036264,-0.0031988580996882596,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5336319412675183,0.554843228741191,0.537112953263546,0.5585548907985414,matched_ablation,0.001999600079984003
Adaptive_vs_HGB80_anchor,student,Brier,-0.001492285368259183,-0.0016827825939618284,-0.0013145201075807065,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.1799936471064866,0.18844767695872597,0.18148480065927683,0.18995350675933897,matched_ablation,0.001999600079984003
Adaptive_vs_HGB80_anchor,student,ECE15,0.0009350737781244648,-0.000843237443153045,0.0026006520290823947,5000,5000,0,802,4198,0.32113577284543093,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.005084852271170071,0.009569568697483101,0.004355037827581912,0.008675338092693857,matched_ablation,0.6422715456908619
Adaptive_vs_Plus_question_memory,student,ROC_AUC,-0.00016568559419782858,-0.00028471560469003345,-4.941961552130674e-05,5000,5000,0,4993,7,0.003199360127974405,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.755417269412954,0.7722368206689842,0.7555961865538414,0.772388753217985,matched_ablation,0.009598080383923215
Adaptive_vs_Plus_question_memory,student,Log_Loss,0.00010299408168390478,3.666386461997908e-06,0.00020304228019567825,5000,5000,0,101,4899,0.04079184163167367,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5336319412675183,0.554843228741191,0.533519449927135,0.5547491822399081,matched_ablation,0.122375524895021
Adaptive_vs_Plus_question_memory,student,Brier,4.055474158745631e-05,-9.81623066324821e-07,8.264988435027346e-05,5000,5000,0,147,4853,0.0591881623675265,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.1799936471064866,0.18844767695872597,0.1799448999601986,0.1883982091383488,matched_ablation,0.1775644871025795
Adaptive_vs_Plus_question_memory,student,ECE15,-0.000919475414946855,-0.0014047957086572728,0.0001956610899652003,5000,5000,0,4710,290,0.11637672465506899,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.005084852271170071,0.009569568697483101,0.005725529628549121,0.01038051058169338,matched_ablation,0.4559088182363527
Adaptive_vs_No_calibration,student,ROC_AUC,-8.877818512620372e-05,-0.0001614177366396491,-1.8590853222186236e-05,5000,5000,0,4969,31,0.01279744051189762,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.755417269412954,0.7722368206689842,0.7555243721075129,0.7723279568242208,matched_ablation,0.02559488102379524
Adaptive_vs_No_calibration,student,Log_Loss,4.9057319643552866e-05,-1.736193331735858e-05,0.00011383119856409881,5000,5000,0,349,4651,0.13997200559888023,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5336319412675183,0.554843228741191,0.5335702204970917,0.5548128951587169,matched_ablation,0.27994401119776047
Adaptive_vs_No_calibration,student,Brier,1.7900806473042374e-05,-1.183042135027637e-05,4.692834840332655e-05,5000,5000,0,547,4453,0.21915616876624675,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.1799936471064866,0.18844767695872597,0.1799778555617723,0.18844244557797,matched_ablation,0.4383123375324935
Adaptive_vs_No_calibration,student,ECE15,-0.000921336330484415,-0.0013393029002478835,0.00019561000508035362,5000,5000,0,4716,284,0.11397720455908818,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.005084852271170071,0.009569568697483101,0.005664996352977099,0.010386115447475423,matched_ablation,0.4559088182363527
Adaptive_vs_Ablation_no_question,student,ROC_AUC,0.004538065681825021,0.004028999239934233,0.005117897477418986,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.755417269412954,0.7722368206689842,0.7506381209398184,0.7680065213618427,matched_ablation,0.001999600079984003
Adaptive_vs_Ablation_no_question,student,Log_Loss,-0.003583849254695126,-0.003986036842679871,-0.003210017604082238,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5336319412675183,0.554843228741191,0.537139858313988,0.5585712097720208,matched_ablation,0.001999600079984003
Adaptive_vs_Ablation_no_question,student,Brier,-0.0014792845173140223,-0.0016538517359964706,-0.0013179330128189255,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.1799936471064866,0.18844767695872597,0.18145917076274845,0.1899711800314063,matched_ablation,0.001999600079984003
Adaptive_vs_Ablation_no_question,student,ECE15,0.001918709639659547,-4.0193806539196134e-05,0.003460624699410349,5000,5000,0,135,4865,0.05438912217556489,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.005084852271170071,0.009569568697483101,0.003541754850241394,0.0076265154321302165,matched_ablation,0.27194561087782443
Adaptive_vs_Ablation_no_subject,student,ROC_AUC,4.480200298451198e-05,-4.333518144938042e-05,0.00013479447284558686,5000,5000,0,739,4261,0.2959408118376325,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.755417269412954,0.7722368206689842,0.7553680371659478,0.7722406354681599,matched_ablation,0.2959408118376325
Adaptive_vs_Ablation_no_subject,student,Log_Loss,-2.777905547202142e-05,-9.82074310542591e-05,4.105291624418023e-05,5000,5000,0,3971,1029,0.41191761647670466,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5336319412675183,0.554843228741191,0.5336429563977766,0.554888262444442,matched_ablation,0.41191761647670466
Adaptive_vs_Ablation_no_subject,student,Brier,-1.380607396683775e-05,-4.33767836641806e-05,1.4985963847772401e-05,5000,5000,0,4173,827,0.3311337732453509,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.1799936471064866,0.18844767695872597,0.18000524857814493,0.18845877155365912,matched_ablation,0.4383123375324935
Adaptive_vs_Ablation_no_subject,student,ECE15,-5.6413409040996336e-05,-0.000613589311173432,0.0006102835238225185,5000,5000,0,2562,2438,0.9754049190161967,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.005084852271170071,0.009569568697483101,0.0051136203055480965,0.009600875678087421,matched_ablation,0.9754049190161967
one_step_vs_converged,student,ROC_AUC,2.7839834181309087e-06,-1.103535737972949e-06,6.761883132574963e-06,5000,5000,0,399,4601,0.15996800639872025,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7555961865538414,0.772388753217985,0.7555940231501347,0.7723834683223082,mechanism,0.15996800639872025
one_step_vs_converged,student,Log_Loss,-2.7253077317102026e-06,-6.094395712710754e-06,5.421827533325093e-07,5000,5000,0,4747,253,0.10157968406318736,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.533519449927135,0.5547491822399081,0.5335237583830432,0.5547542284867846,mechanism,0.10157968406318736
