scenario,model,seed,N,same_target_ids,reference,scope,delta_ROC_AUC,delta_Log_Loss,validity
alternate_hash_cohort,AdaptiveMath-AI,20260713,154735,False,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Different-cohort descriptive diagnostic; no paired delta inferred.,,,causal feature replay under stated calendar protocol
alternate_hash_cohort,HGB100,20260713,154735,False,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Different-cohort descriptive diagnostic; no paired delta inferred.,,,causal feature replay under stated calendar protocol
alternate_hash_cohort,HGB80,20260713,154735,False,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Different-cohort descriptive diagnostic; no paired delta inferred.,,,causal feature replay under stated calendar protocol
first_y_EWM,AdaptiveMath-AI,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,-0.0003191727410847278,0.0002867068149324803,causal feature replay under stated calendar protocol
first_y_EWM,HGB100,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,-0.0004865547222163702,0.00040473520486050685,causal feature replay under stated calendar protocol
first_y_EWM,HGB80,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,-0.0004282126584722601,0.0003751942096301697,causal feature replay under stated calendar protocol
legacy_AnswerId_ties,AdaptiveMath-AI,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,0.008653953042904616,-0.007397902521493416,"retrospective diagnostic, not valid primary inference"
legacy_AnswerId_ties,HGB100,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,0.008320329925034953,-0.006902932812673956,"retrospective diagnostic, not valid primary inference"
legacy_AnswerId_ties,HGB80,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,0.008274012641772632,-0.006884475536171886,"retrospective diagnostic, not valid primary inference"
legacy_selected_cohort,AdaptiveMath-AI,20260713,184293,False,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Different-cohort descriptive diagnostic; no paired delta inferred.,,,"retrospective diagnostic, not valid primary inference"
legacy_selected_cohort,HGB100,20260713,184293,False,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Different-cohort descriptive diagnostic; no paired delta inferred.,,,"retrospective diagnostic, not valid primary inference"
legacy_selected_cohort,HGB80,20260713,184293,False,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Different-cohort descriptive diagnostic; no paired delta inferred.,,,"retrospective diagnostic, not valid primary inference"
retrospective_prefit_exposure_SVD,AdaptiveMath-AI,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,0.0004668277009791666,-0.000333272820630226,"retrospective diagnostic, not valid primary inference"
retrospective_prefit_exposure_SVD,HGB100,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,-1.877961235718928e-05,0.00024753480521633175,"retrospective diagnostic, not valid primary inference"
retrospective_prefit_exposure_SVD,HGB80,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,9.602075082948414e-05,0.0001223907727332385,"retrospective diagnostic, not valid primary inference"
without_SVD,AdaptiveMath-AI,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,0.00014405886617208097,-0.00010635637366362971,causal feature replay under stated calendar protocol
without_SVD,HGB100,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,-0.000280894297626455,0.00025030802474756975,causal feature replay under stated calendar protocol
without_SVD,HGB80,20260713,143565,True,First-seed first-outer frozen object with full corrected information; not the advancing temporal ensemble.,Same-target one-factor diagnostic,-0.00025959789793850163,0.00023427252873842175,causal feature replay under stated calendar protocol
