contrast,cluster,metric,delta,lower,upper,B_requested,B_valid,B_invalid,count_delta_le0,count_delta_ge0,p_two_sided,p_formula,minimum_p_resolution,uncertainty,estimator,model_lower,model_upper,comparator_lower,comparator_upper,slice_or_scenario,comparison,N,inference_scope
cold_first_response_unseen_student,student,ROC_AUC,0.03527111574556829,0.005199200720477326,0.06667358696609935,5000,5000,0,67,4933,0.027194561087782444,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5641412088209856,0.6439583093252558,0.5276428281162503,0.6091936282082296,first_response_unseen_student,AdaptiveMath-AI - HGB100,965,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_first_response_unseen_student,student,Log_Loss,-0.006019349037783117,-0.01173641327301889,-0.00046134654234273215,5000,5000,0,4916,84,0.033993201359728054,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5496302189805103,0.630490405105598,0.5570988449154142,0.6354947062084648,first_response_unseen_student,AdaptiveMath-AI - HGB100,965,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_first_response_unseen_student,student,Brier,-0.0023034897874857074,-0.004563403508914305,-0.00011851423472894826,5000,5000,0,4901,99,0.03999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.18251669700816842,0.21914182089288958,0.18520539100183003,0.22129920126228733,first_response_unseen_student,AdaptiveMath-AI - HGB100,965,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_first_response_unseen_student,student,ECE15,0.004884512510834937,-0.02350282905181113,0.0193786932777506,5000,5000,0,1858,3142,0.7434513097380524,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.0169237954119749,0.06982040553843208,0.016484707740331603,0.06284052471485907,first_response_unseen_student,AdaptiveMath-AI - HGB100,965,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_first_response_unseen_student_known_question,student,ROC_AUC,0.030536672629695838,-0.0015523559902430395,0.06234291759387967,5000,5000,0,156,4844,0.0627874425114977,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5638660900392505,0.6468513719422037,0.530999214893633,0.6164077510093868,first_response_unseen_student_known_question,AdaptiveMath-AI - HGB100,905,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_first_response_unseen_student_known_question,student,Log_Loss,-0.00589935768308103,-0.01189408250604263,-8.117994730266966e-05,5000,5000,0,4883,117,0.047190561887622474,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.548503591197154,0.6261919446152092,0.5560546072991059,0.6306892651852942,first_response_unseen_student_known_question,AdaptiveMath-AI - HGB100,905,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_first_response_unseen_student_known_question,student,Brier,-0.002259684045722493,-0.004620307712308881,4.9065691118584615e-05,5000,5000,0,4861,139,0.05598880223955209,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.18205275422382142,0.21715929734165568,0.18491561404943324,0.2189913958017121,first_response_unseen_student_known_question,AdaptiveMath-AI - HGB100,905,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_first_response_unseen_student_known_question,student,ECE15,-0.004226801372273017,-0.028342392429545785,0.020413129546710578,5000,5000,0,2380,2620,0.9522095580883824,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.017189020871350654,0.06553337976970634,0.01762046048455056,0.06273889563922685,first_response_unseen_student_known_question,AdaptiveMath-AI - HGB100,905,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_unseen_student_known_question,student,ROC_AUC,0.007042422935805037,0.005411152200765576,0.008739483749127157,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7356826953287579,0.759742274531607,0.728370119204815,0.7530211811544423,unseen_student_known_question,AdaptiveMath-AI - HGB100,26943,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_unseen_student_known_question,student,Log_Loss,-0.004608362281767087,-0.00570653145221825,-0.0035256650764751156,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5166403558398186,0.5480129577350681,0.5210057487298433,0.5527307018110256,unseen_student_known_question,AdaptiveMath-AI - HGB100,26943,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
