slice,scenario,model,N,students,questions,prediction_kind,weighting,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,965,660,736,mean_temporal_outer_probabilities,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079339,1.134160663147236,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,965,660,736,mean_temporal_outer_probabilities,equal_student,0.6152897637691297,0.7913973034540581,0.38570305660281,0.5660319641495128,0.18993549264706117,0.020011608385857416,-0.2712323269856835,1.261584638069864,0.7322874852420308,
first_response_unseen_student,global_calendar_learner_feedback,HGB100,965,660,736,mean_temporal_outer_probabilities,interaction,0.5688712200208493,0.7328604527273698,0.3703169672345178,0.5960430045467398,0.20308379525833836,0.022064512021815707,0.031383128732415,0.9010729148174591,0.7077720207253897,
first_response_unseen_student,global_calendar_learner_feedback,HGB100,965,660,736,mean_temporal_outer_probabilities,equal_student,0.5828009835490796,0.7573162844082998,0.36775608206479515,0.5732864648558611,0.19269009969643472,0.033539072806321936,-0.03127212784470012,1.0881419302178312,0.729371966417421,
first_response_unseen_student,global_calendar_learner_feedback,HGB80,965,660,736,mean_temporal_outer_probabilities,interaction,0.5767440041710058,0.7396318694004126,0.3741535710656998,0.5951723465660188,0.20274765363626404,0.026487036888955453,-0.015793504415701737,0.9529496475467152,0.7088082901554416,
first_response_unseen_student,global_calendar_learner_feedback,HGB80,965,660,736,mean_temporal_outer_probabilities,equal_student,0.5891778226286668,0.763696000778449,0.37018263438351895,0.5725843036322029,0.1924298216078339,0.04801274558916917,-0.06966303413081182,1.131253335407498,0.7306345926800473,
first_response_unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,905,621,686,mean_temporal_outer_probabilities,interaction,0.6042009540846733,0.7723366943516485,0.38999373068596355,0.586537681206935,0.19918196309847003,0.023988224728776226,-0.23131761028107928,1.1265999278360797,0.7149171270718239,
first_response_unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,905,621,686,mean_temporal_outer_probabilities,equal_student,0.6155899653500453,0.7893651281705296,0.3903127826293641,0.569177942055983,0.19138016977960215,0.018843308111742965,-0.2645609506240389,1.2386458650594732,0.7288554976960767,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB100,905,621,686,mean_temporal_outer_probabilities,interaction,0.5736642814549775,0.7367225869861279,0.3727305062359375,0.5924370388900166,0.20144164714419277,0.028215026101049236,0.022718044226669246,0.9282266036156881,0.7104972375690614,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB100,905,621,686,mean_temporal_outer_probabilities,equal_student,0.5840331875802054,0.7542258658611194,0.3731598679510259,0.576296138927654,0.1940834185022778,0.03205152725146281,-0.03545477971774215,1.076447669511134,0.7257568786554287,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,905,621,686,mean_temporal_outer_probabilities,interaction,0.581186642814548,0.7428928527626055,0.3764325033777035,0.5915404710933984,0.20109374059659352,0.030043685888194387,-0.023081030490927447,0.9786983102787232,0.711602209944752,
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,905,621,686,mean_temporal_outer_probabilities,equal_student,0.5913143573087273,0.7610948501195822,0.3760080406301547,0.5754429911706724,0.19376439893841518,0.04740782740081249,-0.07884272847087918,1.124975120207332,0.7270988002872054,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,26943,659,10994,mean_temporal_outer_probabilities,interaction,0.7480547994577775,0.863333208851419,0.5465484209703475,0.5324877989516212,0.17849125810381927,0.011259599884243023,-0.010773668635813968,1.0472327216609472,0.7321011023271048,
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,26943,659,10994,mean_temporal_outer_probabilities,equal_student,0.7243895179796948,0.837110498820361,0.5397949669274784,0.5635066552738344,0.19161924939110114,0.014868053025070925,-0.05604247339140456,1.0099613230433269,0.7068223901740751,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,26943,659,10994,mean_temporal_outer_probabilities,interaction,0.7410123765219725,0.8585590694829535,0.5394056138253216,0.5370961612333862,0.18028133205861593,0.008737734861108824,0.018111409953180765,1.0118892233923182,0.7297999480384217,
unseen_student_known_question,global_calendar_learner_feedback,HGB100,26943,659,10994,mean_temporal_outer_probabilities,equal_student,0.7171265615364225,0.8313264084588771,0.5350526268267187,0.5677294261731769,0.1932358515183687,0.013873502305274904,-0.03891281804199728,0.9754148246066439,0.7045997244555624,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,26943,659,10994,mean_temporal_outer_probabilities,interaction,0.7413800860634269,0.8587714617538231,0.5396745567685208,0.5368078327192087,0.18016128585705415,0.00825236034478438,-0.0067037307889129,1.0259756300563596,0.7289091786363509,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,26943,659,10994,mean_temporal_outer_probabilities,equal_student,0.7176245958365476,0.8315866566089178,0.5350760457198382,0.5675464063915246,0.19315028708338156,0.014028646238758434,-0.054595092926861925,0.9877486465406016,0.7039265955633237,
unseen_question,learner_feedback,AdaptiveMath-AI,7071,677,2600,mean_frozen_object_probabilities,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118334,0.8896451263955084,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,7071,677,2600,mean_frozen_object_probabilities,equal_student,0.6812272845915796,0.84461819292338,0.4468673834834866,0.5419276748701001,0.1809564585506607,0.03562246281772562,0.21158621344340225,0.850248287569707,0.7366154712027752,
unseen_question,learner_feedback,HGB100,7071,677,2600,mean_frozen_object_probabilities,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.17854360276233516,0.020754174441309538,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,7071,677,2600,mean_frozen_object_probabilities,equal_student,0.6805188588429035,0.8427472330930522,0.4449529257000734,0.5430885754901045,0.18132967840294129,0.03459690145376906,0.22981283822754056,0.8485195321032669,0.7386051960528485,
unseen_question,learner_feedback,HGB80,7071,677,2600,mean_frozen_object_probabilities,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417774,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,7071,677,2600,mean_frozen_object_probabilities,equal_student,0.6816096139548523,0.8435049474412744,0.4478204599855361,0.542397441613468,0.18109777363816137,0.03600694875100869,0.22706517030892137,0.859134490597012,0.7373189690097024,
