slice,scenario,model,seeds,mean_seed_AUC,seed_AUC_SD,seed_AUC_min,seed_AUC_max
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,10,0.6041423357664173,0.0,0.6041423357664173,0.6041423357664173
first_response_unseen_student,global_calendar_learner_feedback,HGB100,10,0.5687168925964489,0.0044921744318002785,0.5626981230448327,0.5776381647549473
first_response_unseen_student,global_calendar_learner_feedback,HGB80,10,0.5760323253388889,0.004518520226100557,0.5710505735140714,0.583983315954113
first_response_unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,10,0.6042009540846733,0.0,0.6042009540846733,0.6042009540846733
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB100,10,0.573393858079903,0.004256151539198977,0.5686612999403681,0.5816726296958838
first_response_unseen_student_known_question,global_calendar_learner_feedback,HGB80,10,0.5804797257006542,0.004266849956929595,0.5765235539654128,0.5880799045915308
unseen_question,learner_feedback,AdaptiveMath-AI,10,0.6902931895736548,0.0,0.6902931895736548,0.6902931895736548
unseen_question,learner_feedback,HGB100,10,0.689059120996588,0.0,0.689059120996588,0.689059120996588
unseen_question,learner_feedback,HGB80,10,0.6893770299716321,0.0,0.6893770299716321,0.6893770299716321
unseen_question,no_feedback,AdaptiveMath-AI,10,0.5938836183858901,0.0,0.5938836183858901,0.5938836183858901
unseen_question,no_feedback,HGB100,10,0.5921175944579207,0.0,0.5921175944579207,0.5921175944579207
unseen_question,no_feedback,HGB80,10,0.5935417608847595,0.0,0.5935417608847595,0.5935417608847595
unseen_question,outcome_free,AdaptiveMath-AI,10,0.5959896497142625,0.0,0.5959896497142625,0.5959896497142625
unseen_question,outcome_free,HGB100,10,0.5968466060929987,0.0,0.5968466060929987,0.5968466060929987
unseen_question,outcome_free,HGB80,10,0.5962528779344655,0.0,0.5962528779344655,0.5962528779344655
unseen_student_known_question,global_calendar_learner_feedback,AdaptiveMath-AI,10,0.7480547994577775,0.0,0.7480547994577775,0.7480547994577775
unseen_student_known_question,global_calendar_learner_feedback,HGB100,10,0.7407569366509112,0.0001221615925814089,0.7405693742440563,0.7409209681344162
unseen_student_known_question,global_calendar_learner_feedback,HGB80,10,0.7411658670871466,0.00013408523738083682,0.7409781534341289,0.7414059889929788
