contrast,cluster,metric,delta,lower,upper,B_requested,B_valid,B_invalid,count_delta_le0,count_delta_ge0,p_two_sided,p_formula,minimum_p_resolution,uncertainty,estimator,model_lower,model_upper,comparator_lower,comparator_upper,group_field,group,N
subgroup_Gender_0,student,ROC_AUC,0.004913986544686333,0.003782045382438848,0.006151888179271415,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.765152402767121,0.7980096114841179,0.7598505759701571,0.7933778297700389,Gender,0,40515
subgroup_Gender_0,student,Log_Loss,-0.0036097409838214967,-0.004673343095500446,-0.002582564890197179,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.49362384757440786,0.5408923727241963,0.49661680232522437,0.5449645621918409,Gender,0,40515
subgroup_Gender_0,student,Brier,-0.00161074395530178,-0.0020482758664596597,-0.0012092138050741595,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.16464425336977676,0.18313479705096136,0.1661691955996327,0.18488637284648685,Gender,0,40515
subgroup_Gender_0,student,ECE15,0.003489933832043225,0.000232127972162918,0.005425369445307803,5000,5000,0,80,4920,0.03239352129574085,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.010152890013228789,0.01824940376341188,0.007656463611234927,0.014893983695113796,Gender,0,40515
subgroup_Gender_1,student,ROC_AUC,0.003876936614084614,0.0027060791259872373,0.0051063404708711554,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7377646346958566,0.7629716812582628,0.7334785854229692,0.7594446107186272,Gender,1,54152
subgroup_Gender_1,student,Log_Loss,-0.0028857790938514594,-0.0037811517165034308,-0.0020138657326695566,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.542262765914927,0.5709768835327916,0.5451261865322751,0.5739771398292438,Gender,1,54152
subgroup_Gender_1,student,Brier,-0.0012506726997000561,-0.0016244660150049697,-0.0008836746012809088,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.1831168261933613,0.194746155686746,0.1843281537323386,0.1960087346953234,Gender,1,54152
subgroup_Gender_1,student,ECE15,0.0006245904179663945,-0.002951502795395339,0.004357906264890592,5000,5000,0,1711,3289,0.6846630673865227,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.005723768534779854,0.01157951573306269,0.004756952467894238,0.010901038644968036,Gender,1,54152
subgroup_Gender_2,student,ROC_AUC,0.003950538906676737,0.0028150875883328234,0.005209170866318351,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7468980911316363,0.7765899173179163,0.7424180968083052,0.7731244029543035,Gender,2,48885
subgroup_Gender_2,student,Log_Loss,-0.0031751705098864713,-0.004229496846922568,-0.0021664072218271274,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5337523636930497,0.5709364748825224,0.5367342435248568,0.5744183422172146,Gender,2,48885
subgroup_Gender_2,student,Brier,-0.0013150492368383115,-0.001720280617882823,-0.0009291719728297822,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.18028370354787063,0.19473149215270508,0.1814764881554475,0.19615912939499516,Gender,2,48885
subgroup_Gender_2,student,ECE15,0.00037226490087014213,-0.003001286233033825,0.0038783986089537797,5000,5000,0,2008,2992,0.8034393121375725,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.005881454030552905,0.012332390569035474,0.005334570239874585,0.011857795822237227,Gender,2,48885
subgroup_PremiumPupil_3,student,ROC_AUC,0.004495616933884672,0.0030674741214396397,0.006067510799992667,5000,5000,0,0,5000,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7251099920411223,0.7585952057543335,0.7203175079108038,0.7547674347128867,PremiumPupil,0.0,36053
subgroup_PremiumPupil_3,student,Log_Loss,-0.003506367061540394,-0.0047607220433266316,-0.0022553368140184066,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5624209426862896,0.5993086145492712,0.565668038415079,0.6032852183196022,PremiumPupil,0.0,36053
subgroup_PremiumPupil_3,student,Brier,-0.0014678592950428115,-0.0019472757302486266,-0.000985002245644011,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.19214702622025515,0.2068941237639857,0.19361617653685143,0.20849116836707474,PremiumPupil,0.0,36053
subgroup_PremiumPupil_3,student,ECE15,-0.0018854246246497583,-0.004752894600117278,0.0028930809553545556,5000,5000,0,3538,1462,0.5850829834033193,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.006770139073274468,0.015057980634172059,0.007572999357581768,0.016193472092709674,PremiumPupil,0.0,36053
subgroup_PremiumPupil_4,student,ROC_AUC,0.003019941501884782,-2.428113728541458e-05,0.006096426311512084,5000,5000,0,134,4866,0.05398920215956809,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7091564874323267,0.7600297860542718,0.7047991982028926,0.757946963344239,PremiumPupil,1.0,9107
