model,group_field,group,N,students,questions,prevalence,status,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
AdaptiveMath-AI,Gender,0,40515,422,13516,0.6697272615080834,estimable,0.7825278443965731,0.8791796720570031,0.6100645776569461,0.5173004910118552,0.17381895743419934,0.013125566544444156,-0.0568397013945656,1.0824668266550093,0.7370109835863665,
HGB100,Gender,0,40515,422,13516,0.6697272615080834,estimable,0.7776138578518872,0.8764851373700565,0.6035942745654317,0.5209102319956733,0.17542970138949956,0.009635632712400925,-0.04666512325895913,1.0552709242803906,0.7338022954461714,
AdaptiveMath-AI,Gender,1,54152,654,15934,0.6437435367114788,estimable,0.7505935890714499,0.8402568791033422,0.6044656103546383,0.5572266674409655,0.18912386593311348,0.006225018318487893,-0.005439774846741505,1.0139734838299552,0.7121435958043936,
HGB100,Gender,1,54152,654,15934,0.6437435367114788,estimable,0.7467166524573648,0.8378219373547662,0.5983407374801472,0.5601124465348215,0.19037453863281167,0.005600427900521488,-0.00040546732947628167,1.0009283910545823,0.7102600088639301,
AdaptiveMath-AI,Gender,2,48885,586,15824,0.6332003682111077,estimable,0.7623862395318011,0.8455688071672545,0.6186598661213425,0.5525540078004212,0.18753283265639303,0.006689535009115616,-0.0079662475591261,1.0058675627301623,0.7131430909276295,
HGB100,Gender,2,48885,586,15824,0.6332003682111077,estimable,0.758435700625124,0.8426175982366129,0.6148189706406209,0.5557291783103115,0.18884788189323,0.006317270108245495,-0.0002606862243018904,0.9833191705637175,0.7115679656335725,
AdaptiveMath-AI,Gender,3,13,1,13,0.6153846153846154,low_support,,,,,,,,,,
HGB100,Gender,3,13,1,13,0.6153846153846154,low_support,,,,,,,,,,
AdaptiveMath-AI,PremiumPupil,0.0,36053,349,11131,0.5969267467339749,estimable,0.742359626959212,0.8115463960713031,0.6277379727192466,0.5817295233878937,0.19981780681047334,0.007538646276662377,-0.0029178600852987602,0.9580935829020459,0.6882367625439976,
HGB100,PremiumPupil,0.0,36053,349,11131,0.5969267467339749,estimable,0.737864010025327,0.8077028105754663,0.6239052344108349,0.5852358904494394,0.20128566610551646,0.009424070901312125,0.0027604550636529494,0.9387531741437806,0.6864338612597773,
AdaptiveMath-AI,PremiumPupil,1.0,9107,105,5942,0.5252003953003185,estimable,0.7373889428389186,0.7491149512366926,0.6855201044451086,0.6033557347509199,0.207580562163703,0.02395240243531118,-0.10325036133998722,0.9779624888532539,0.6794773251345037,
HGB100,PremiumPupil,1.0,9107,105,5942,0.5252003953003185,estimable,0.7343690013370338,0.7474801305553266,0.6780057327258157,0.6058585132708303,0.2086231148595688,0.027199701903971973,-0.11018410997712134,0.9644655448113078,0.6787086856264328,
AdaptiveMath-AI,PremiumPupil,nan,98405,1209,19870,0.6773233067425436,estimable,0.7682494275904473,0.8715930803659824,0.5900848294894961,0.5252166100776814,0.17640521389236322,0.008180883163433461,-0.022558292694995555,1.0571066434505063,0.7346476296935389,
HGB100,PremiumPupil,nan,98405,1209,19870,0.6773233067425436,estimable,0.7639312141753092,0.8691658341531714,0.5840236117852227,0.5283505094945842,0.17777502744769463,0.007450478164473593,-0.011866458991701682,1.0343786344330612,0.7322493775722048,
AdaptiveMath-AI,history_bin,"(-1.0, 0.0]",965,660,736,0.7098445595854922,estimable,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089569,0.2007803054708525,0.02694902453265066,-0.2550417827079332,1.1341606631472354,0.7119170984455969,
HGB100,history_bin,"(-1.0, 0.0]",965,660,736,0.7098445595854922,estimable,0.5688712200208493,0.7328604527273698,0.3703169672345178,0.5960430045467398,0.20308379525833836,0.022064512021815714,0.031383128732415395,0.9010729148174588,0.7077720207253897,
AdaptiveMath-AI,history_bin,"(0.0, 4.0]",2747,658,1981,0.6967601019293775,estimable,0.7133753187795538,0.8396864763846599,0.5135297142812265,0.5526169335806953,0.18586251860331812,0.015884837506213802,0.012295107633227081,1.0707647528888704,0.7247906807426275,
HGB100,history_bin,"(0.0, 4.0]",2747,658,1981,0.6967601019293775,estimable,0.7008032052946616,0.8308228072723922,0.49225199252976976,0.5596756681779569,0.18878014326672687,0.012301826568868463,-0.010855022996406956,1.0219919218102227,0.7200582453585722,
