Split,Analysis,Level,Coverage,N,Error_Rate,Selective_Accuracy,Selective_ROC_AUC,Mean_Prediction_Risk,Error_Detection_ROC_AUC,Error_Detection_PR_AUC
validation,Prediction-risk quintile,1,0.2,12150,0.08353909465020576,0.9164609053497943,0.6454946790508781,0.4093928539380609,,
validation,Prediction-risk quintile,2,0.2,12150,0.20271604938271606,0.797283950617284,0.7075729499172762,0.7071610530697515,,
validation,Prediction-risk quintile,3,0.2,12150,0.2691358024691358,0.7308641975308642,0.7378435383334923,0.8518153691248082,,
validation,Prediction-risk quintile,4,0.2,12150,0.3551440329218107,0.6448559670781893,0.654091170195128,0.9399373578522455,,
validation,Prediction-risk quintile,5,0.2,12150,0.45382716049382715,0.5461728395061729,0.5595624517449662,0.9908250430548405,,
validation,Risk-coverage,0.1,0.1,6075,0.049218106995884775,0.9507818930041152,0.6433616440767471,0.3070914970440979,,
validation,Risk-coverage,0.2,0.2,12150,0.08353909465020576,0.9164609053497943,0.6454946790508781,0.4093928539380609,,
validation,Risk-coverage,0.30000000000000004,0.30000000000000004,18225,0.11390946502057613,0.8860905349794239,0.6725717617610878,0.4910475591651213,,
validation,Risk-coverage,0.4,0.4,24300,0.1431275720164609,0.8568724279835391,0.7542543100900461,0.5582769535039062,,
validation,Risk-coverage,0.5,0.5,30375,0.16586008230452676,0.8341399176954732,0.7914840762843455,0.611802193441864,,
validation,Risk-coverage,0.6,0.6,36450,0.18513031550068587,0.8148696844993142,0.8017427151870842,0.6561230920442068,,
validation,Risk-coverage,0.7000000000000001,0.7000000000000001,42525,0.20681951793062905,0.793180482069371,0.7999335651660306,0.6941206171927505,,
validation,Risk-coverage,0.8,0.8,48600,0.22763374485596707,0.7723662551440329,0.7945298575644766,0.7270766584962164,,
validation,Risk-coverage,0.9,0.9,54675,0.25038866026520346,0.7496113397347965,0.786838280119022,0.7556235997953159,,
validation,Risk-coverage,1.0,1.0,60750,0.2728724279835391,0.7271275720164609,0.7770442500306564,0.7798263354079413,,
validation,Error detection,summary,1.0,60750,0.2728724279835391,,,0.7798263354079413,0.6872315126327961,0.41350997694620795
validation,AURC,summary,1.0,60750,0.1537453720033967,,,0.7798263354079413,,
temporal_test,Prediction-risk quintile,1,0.20000316410637725,12642,0.09001740230976112,0.9099825976902389,0.6402223739400799,0.4236598775646596,,
temporal_test,Prediction-risk quintile,2,0.20000316410637725,12642,0.21080525233349154,0.7891947476665084,0.7589400845411644,0.7171927875174439,,
temporal_test,Prediction-risk quintile,3,0.19998734357449097,12641,0.2906415631674709,0.7093584368325291,0.7215291507790212,0.8555141998549075,,
temporal_test,Prediction-risk quintile,4,0.20000316410637725,12642,0.35611453883879135,0.6438854611612086,0.6604918078420581,0.9424271712091313,,
temporal_test,Prediction-risk quintile,5,0.20000316410637725,12642,0.45514950166112955,0.5448504983388704,0.5587954059690005,0.9913565907190266,,
temporal_test,Risk-coverage,0.1,0.1,6320,0.056329113924050635,0.9436708860759494,0.5978082916977521,0.3177569575832305,,
temporal_test,Risk-coverage,0.2,0.2,12641,0.09002452337631517,0.9099754766236848,0.640277954539864,0.42364524991226865,,
temporal_test,Risk-coverage,0.30000000000000004,0.30000000000000004,18962,0.1209787997046725,0.8790212002953275,0.7286698767789777,0.5060968566373695,,
temporal_test,Risk-coverage,0.4,0.4,25283,0.1504172764308033,0.8495827235691967,0.7880098241729324,0.5704172528011572,,
temporal_test,Risk-coverage,0.5,0.5,31604,0.1747880015187951,0.825211998481205,0.8061186997220133,0.6222173761421174,,
temporal_test,Risk-coverage,0.6,0.6,37925,0.19715227422544496,0.802847725774555,0.8099599929477952,0.6654506102131532,,
temporal_test,Risk-coverage,0.7000000000000001,0.7000000000000001,44246,0.21638114179812865,0.7836188582018714,0.8059345242524099,0.7025194289359312,,
temporal_test,Risk-coverage,0.8,0.8,50567,0.2368936262780074,0.7631063737219926,0.7976953653986467,0.7346961198164746,,
temporal_test,Risk-coverage,0.9,0.9,56888,0.2586837294332724,0.7413162705667276,0.7873112482772012,0.7624956552306833,,
temporal_test,Risk-coverage,1.0,1.0,63209,0.280545491939439,0.719454508060561,0.7763054224377613,0.7860290260980178,,
temporal_test,Error detection,summary,1.0,63209,0.280545491939439,,,0.7860290260980178,0.6818604313739384,0.4162095994245326
temporal_test,AURC,summary,1.0,63209,0.16137566756971844,,,0.7860290260980178,,
external_unseen_student,Prediction-risk quintile,1,0.20002644686384272,4538,0.0755839576906126,0.9244160423093875,0.6287576839010762,0.4171862078012809,,
external_unseen_student,Prediction-risk quintile,2,0.1999823687574382,4537,0.19241789728895747,0.8075821027110426,0.6849395999423409,0.6993793875299584,,
external_unseen_student,Prediction-risk quintile,3,0.1999823687574382,4537,0.2770553229005951,0.7229446770994049,0.7199718467682603,0.8536595040484279,,
external_unseen_student,Prediction-risk quintile,4,0.1999823687574382,4537,0.36477848798765705,0.635221512012343,0.6515437351001641,0.9438599229879998,,
external_unseen_student,Prediction-risk quintile,5,0.20002644686384272,4538,0.4493168796826796,0.5506831203173204,0.5622995916838417,0.9916878057741034,,
external_unseen_student,Risk-coverage,0.1,0.1,2268,0.050705467372134036,0.949294532627866,0.6338577111815666,0.3220187268336446,,
external_unseen_student,Risk-coverage,0.2,0.2,4537,0.07560061714789508,0.9243993828521049,0.6289076022806425,0.41714974911527664,,
external_unseen_student,Risk-coverage,0.30000000000000004,0.30000000000000004,6806,0.10314428445489274,0.8968557155451072,0.6676894563426689,0.49393739801822767,,
external_unseen_student,Risk-coverage,0.4,0.4,9074,0.13400925721842627,0.8659907427815737,0.737364219711969,0.5582415568683872,,
external_unseen_student,Risk-coverage,0.5,0.5,11343,0.15754209644714803,0.842457903552852,0.7694962748804626,0.6116113755115269,,
external_unseen_student,Risk-coverage,0.6,0.6,13612,0.1816779312371437,0.8183220687628563,0.7843450258910998,0.6567241009472048,,
external_unseen_student,Risk-coverage,0.7000000000000001,0.7000000000000001,15880,0.20327455919395465,0.7967254408060453,0.7869097610412792,0.6952112704316104,,
